05-21-2024, 15:33:31:197, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-21-2024, 15:33:33:650, , 1, , , , , , , , , , , 
05-21-2024, 15:33:34:362, , 0, , , , , , , , , , , 
05-21-2024, 15:33:34:772, , 1, , , , , , , , , , , 
05-21-2024, 15:33:36:139, , 0, , , , , , , , , , , 
05-21-2024, 15:33:36:632, , 1, , , , , , , , , , , 
05-21-2024, 15:33:38:665, , , 1, , , , , , , , , , 
05-21-2024, 15:33:39:896, 1, , , , , , , , , , , , 
05-21-2024, 15:33:40:228, 0, , , , , , , , , , , , 
05-21-2024, 15:33:40:364, 1, , , , , , , , , , , , 
05-21-2024, 15:33:40:693, 0, , , , , , , , , , , , 
05-21-2024, 15:33:41:52, 1, , , , , , , , , , , , 
05-21-2024, 15:33:44:315, 0, , , , , , , , , , , , 
05-21-2024, 15:33:44:538, 1, , , , , , , , , , , , 
05-21-2024, 15:33:45:245, 0, , , , , , , , , , , , 
05-21-2024, 15:33:45:532, 1, , , , , , , , , , , , 
05-21-2024, 15:33:46:642, 0, , , , , , , , , , , , 
05-21-2024, 15:33:46:806, 1, , , , , , , , , , , , 
05-21-2024, 15:33:47:862, 0, , , , , , , , , , , , 
05-21-2024, 15:33:48:58, 1, , , , , , , , , , , , 
05-21-2024, 15:33:48:330, 0, , , , , , , , , , , , 
05-21-2024, 15:33:48:494, 1, , , , , , , , , , , , 
