03-05-2024, 14:13:44:540, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
03-05-2024, 14:13:47:929, , 1, , , , , , , , , , , 
03-05-2024, 14:13:49:664, , , 1, , , , , , , , , , 
03-05-2024, 14:13:51:402, 1, , , , , , , , , , , , 
03-05-2024, 14:13:53:150, 0, , , , , , , , , , , , 
03-05-2024, 14:13:54:177, 1, , , , , , , , , , , , 
03-05-2024, 14:13:54:631, 0, , , , , , , , , , , , 
03-05-2024, 14:13:55:432, 1, , , , , , , , , , , , 
03-05-2024, 14:13:55:826, 0, , , , , , , , , , , , 
03-05-2024, 14:13:56:460, 1, , , , , , , , , , , , 
03-05-2024, 14:13:58:914, 0, , , , , , , , , , , , 
03-05-2024, 14:13:59:463, 1, , , , , , , , , , , , 
03-05-2024, 14:14:01:66, , 0, , , , , , , , , , , 
03-05-2024, 14:14:02:43, , 1, , , , , , , , , , , 
03-05-2024, 14:14:03:750, , , 0, , , , , , , , , , 
03-05-2024, 14:14:05:899, , , 1, , , , , , , , , , 
03-05-2024, 14:14:06:883, , 0, , , , , , , , , , , 
03-05-2024, 14:14:07:516, , 1, , , , , , , , , , , 
03-05-2024, 14:14:19:931, , 0, , , , , , , , , , , 
03-05-2024, 14:14:24:192, 0, , , , , , , , , , , , 
03-05-2024, 14:14:25:134, 1, , , , , , , , , , , , 
03-05-2024, 14:14:26:248, , 1, , , , , , , , , , , 
03-05-2024, 14:14:29:252, 0, , , , , , , , , , , , 
03-05-2024, 14:14:29:810, 1, , , , , , , , , , , , 
03-05-2024, 14:14:31:114, , 0, , , , , , , , , , , 
03-05-2024, 14:14:34:681, , 1, , , , , , , , , , , 
