11-29-2023, 12:55:52:838, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
11-29-2023, 12:55:57:316, , , , 1, , , , , , , , , 
11-29-2023, 12:55:58:487, , , 1, , , , , , , , , , 
11-29-2023, 12:55:59:554, , 1, , , , , , , , , , , 
11-29-2023, 12:56:00:660, 1, , , , , , , , , , , , 
11-29-2023, 12:56:04:284, , , , , , , , 1, , , , , 
11-29-2023, 12:56:04:838, , , , , , 1, , , , , , , 
11-29-2023, 12:56:05:547, , , , , , , , , , , 1, , 
11-29-2023, 12:56:06:68, , , , , , , , , 1, , , , 
11-29-2023, 12:56:06:457, , , , , , , , , , 1, , , 
11-29-2023, 12:56:06:972, , , , , , , 1, , , , , , 
11-29-2023, 12:56:07:449, , , , , 1, , , , , , , , 
11-29-2023, 12:56:26:655, , , 0, , , , , , , , , , 
11-29-2023, 12:56:28:191, , 0, , , , , , , , , , , 
11-29-2023, 12:56:29:170, 0, , , , , , , , , , , , 
11-29-2023, 12:56:30:55, , , , , 0, , , , , , , , 
11-29-2023, 12:56:30:632, , , , , , , 0, , , , , , 
11-29-2023, 12:56:31:148, , , , , , , , , , 0, , , 
11-29-2023, 12:56:31:636, , , , , , , , , 0, , , , 
11-29-2023, 12:56:32:148, , , , , , , , , , , 0, , 
11-29-2023, 12:56:32:654, , , , , , 0, , , , , , , 
11-29-2023, 12:56:33:167, , , , , , , , 0, , , , , 
11-29-2023, 12:56:34:283, , , , 0, , , , , , , , , 
