05-22-2024, 14:48:06:787, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-22-2024, 14:48:09:132, , 1, , , , , , , , , , , 
05-22-2024, 14:48:10:193, , 0, , , , , , , , , , , 
05-22-2024, 14:48:10:575, , 1, , , , , , , , , , , 
05-22-2024, 14:48:12:894, , 0, , , , , , , , , , , 
05-22-2024, 14:48:17:684, 1, , , , , , , , , , , , 
05-22-2024, 14:48:18:289, 0, , , , , , , , , , , , 
05-22-2024, 14:48:19:811, , , 1, , , , , , , , , , 
05-22-2024, 14:48:20:175, , , 0, , , , , , , , , , 
05-22-2024, 14:48:21:497, , , 1, , , , , , , , , , 
05-22-2024, 14:48:22:44, , , 0, , , , , , , , , , 
05-22-2024, 14:48:22:832, , 1, , , , , , , , , , , 
05-22-2024, 14:48:23:165, , 0, , , , , , , , , , , 
