05-22-2024, 15:17:03:103, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-22-2024, 15:17:05:158, , , 1, , , , , , , , , , 
05-22-2024, 15:17:10:900, , , 0, , , , , , , , , , 
05-22-2024, 15:17:11:621, , 1, , , , , , , , , , , 
05-22-2024, 15:17:12:369, , 0, , , , , , , , , , , 
05-22-2024, 15:17:13:318, 1, , , , , , , , , , , , 
05-22-2024, 15:17:15:544, , 1, , , , , , , , , , , 
05-22-2024, 15:17:24:764, , 0, , , , , , , , , , , 
05-22-2024, 15:17:26:376, 0, , , , , , , , , , , , 
05-22-2024, 15:17:27:712, , , 1, , , , , , , , , , 
05-22-2024, 15:17:30:994, , 1, , , , , , , , , , , 
05-22-2024, 15:18:01:411, 1, , , , , , , , , , , , 
05-22-2024, 15:18:11:340, , , 0, , , , , , , , , , 
05-22-2024, 15:18:15:666, , , 1, , , , , , , , , , 
05-22-2024, 15:18:29:413, , , 0, , , , , , , , , , 
05-22-2024, 15:18:32:409, , 0, , , , , , , , , , , 
05-22-2024, 15:18:35:41, , 1, , , , , , , , , , , 
05-22-2024, 15:18:37:959, , , 1, , , , , , , , , , 
05-22-2024, 15:18:39:514, , , 0, , , , , , , , , , 
05-22-2024, 15:18:40:16, , , 1, , , , , , , , , , 
05-22-2024, 15:18:40:669, , , 0, , , , , , , , , , 
05-22-2024, 15:18:41:577, , , 1, , , , , , , , , , 
05-22-2024, 15:18:43:753, , , 0, , , , , , , , , , 
05-22-2024, 15:18:44:603, , 0, , , , , , , , , , , 
05-22-2024, 15:18:45:384, 0, , , , , , , , , , , , 
