03-19-2024, 15:47:04:793, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
03-19-2024, 15:47:06:294, 1, , , , , , , , , , , , 
03-19-2024, 15:47:07:796, , , 1, , , , , , , , , , 
03-19-2024, 15:47:09:644, , 1, , , , , , , , , , , 
03-19-2024, 15:47:10:329, , 0, , , , , , , , , , , 
03-19-2024, 15:47:11:92, , , 0, , , , , , , , , , 
03-19-2024, 15:47:11:977, 0, , , , , , , , , , , , 
03-19-2024, 15:47:12:165, 1, , , , , , , , , , , , 
03-19-2024, 15:47:12:525, 0, , , , , , , , , , , , 
03-19-2024, 15:47:12:682, 1, , , , , , , , , , , , 
03-19-2024, 15:47:13:440, , 1, , , , , , , , , , , 
03-19-2024, 15:47:14:252, , , 1, , , , , , , , , , 
03-19-2024, 15:47:31:601, , 0, , , , , , , , , , , 
03-19-2024, 15:47:31:951, , 1, , , , , , , , , , , 
03-19-2024, 15:47:32:971, , 0, , , , , , , , , , , 
03-19-2024, 15:47:35:173, 0, , , , , , , , , , , , 
03-19-2024, 15:47:38:121, 1, , , , , , , , , , , , 
03-19-2024, 15:47:38:995, , 1, , , , , , , , , , , 
