05-21-2024, 16:17:19:488, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-21-2024, 16:17:22:164, , 1, , , , , , , , , , , 
05-21-2024, 16:17:24:693, , 0, , , , , , , , , , , 
05-21-2024, 16:17:26:37, , , 1, , , , , , , , , , 
05-21-2024, 16:17:28:636, , , 0, , , , , , , , , , 
05-21-2024, 16:17:29:21, , , 1, , , , , , , , , , 
05-21-2024, 16:17:37:182, , , 0, , , , , , , , , , 
05-21-2024, 16:17:38:563, 1, , , , , , , , , , , , 
05-21-2024, 16:17:39:57, 0, , , , , , , , , , , , 
05-21-2024, 16:17:41:963, , 1, , , , , , , , , , , 
05-21-2024, 16:17:43:507, 1, , , , , , , , , , , , 
05-21-2024, 16:17:46:987, 0, , , , , , , , , , , , 
05-21-2024, 16:17:48:223, , 0, , , , , , , , , , , 
05-21-2024, 16:17:49:576, , , 1, , , , , , , , , , 
05-21-2024, 16:17:50:892, , , 0, , , , , , , , , , 
05-21-2024, 16:17:52:175, , , 1, , , , , , , , , , 
05-21-2024, 16:17:53:79, , , 0, , , , , , , , , , 
05-21-2024, 16:17:54:851, , , 1, , , , , , , , , , 
05-21-2024, 16:17:56:229, , , 0, , , , , , , , , , 
05-21-2024, 16:17:56:939, , , 1, , , , , , , , , , 
05-21-2024, 16:17:59:107, , , 0, , , , , , , , , , 
05-21-2024, 16:17:59:325, , , 1, , , , , , , , , , 
05-21-2024, 16:18:00:123, , , 0, , , , , , , , , , 
05-21-2024, 16:18:00:538, , , 1, , , , , , , , , , 
05-21-2024, 16:18:02:13, , , 0, , , , , , , , , , 
05-21-2024, 16:18:03:52, , , 1, , , , , , , , , , 
05-21-2024, 16:18:03:820, , , 0, , , , , , , , , , 
05-21-2024, 16:18:06:892, , , 1, , , , , , , , , , 
05-21-2024, 16:18:07:506, , , 0, , , , , , , , , , 
05-21-2024, 16:18:07:862, , , 1, , , , , , , , , , 
05-21-2024, 16:18:08:419, , , 0, , , , , , , , , , 
05-21-2024, 16:18:10:882, , , 1, , , , , , , , , , 
05-21-2024, 16:18:11:867, , , 0, , , , , , , , , , 
05-21-2024, 16:18:13:291, , , 1, , , , , , , , , , 
05-21-2024, 16:18:14:31, , , 0, , , , , , , , , , 
05-21-2024, 16:18:14:850, , , 1, , , , , , , , , , 
05-21-2024, 16:18:16:522, , , 0, , , , , , , , , , 
