05-21-2024, 16:03:35:171, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-21-2024, 16:03:37:370, , 1, , , , , , , , , , , 
05-21-2024, 16:03:38:889, , 0, , , , , , , , , , , 
05-21-2024, 16:03:40:91, 1, , , , , , , , , , , , 
05-21-2024, 16:03:42:489, 0, , , , , , , , , , , , 
05-21-2024, 16:03:47:306, , , 1, , , , , , , , , , 
05-21-2024, 16:03:49:446, , , 0, , , , , , , , , , 
05-21-2024, 16:03:50:688, , 1, , , , , , , , , , , 
05-21-2024, 16:03:52:23, 1, , , , , , , , , , , , 
05-21-2024, 16:03:56:79, 0, , , , , , , , , , , , 
05-21-2024, 16:03:56:999, , 0, , , , , , , , , , , 
05-21-2024, 16:03:57:804, , , 1, , , , , , , , , , 
05-21-2024, 16:04:00:602, , 1, , , , , , , , , , , 
05-21-2024, 16:04:02:12, , 0, , , , , , , , , , , 
05-21-2024, 16:04:07:864, , , 0, , , , , , , , , , 
