05-20-2024, 12:59:35:183, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-20-2024, 12:59:36:906, , , 1, , , , , , , , , , 
05-20-2024, 12:59:41:362, , , 0, , , , , , , , , , 
05-20-2024, 12:59:41:864, , , 1, , , , , , , , , , 
05-20-2024, 12:59:42:225, , , 0, , , , , , , , , , 
05-20-2024, 12:59:43:467, , , , 1, , , , , , , , , 
05-20-2024, 12:59:43:855, , , , 0, , , , , , , , , 
05-20-2024, 13:04:23:720, 1, , , , , , , , , , , , 
05-20-2024, 13:04:24:88, 0, , , , , , , , , , , , 
05-20-2024, 13:04:24:437, 1, , , , , , , , , , , , 
05-20-2024, 13:04:24:786, 0, , , , , , , , , , , , 
05-20-2024, 13:04:25:701, , , , 1, , , , , , , , , 
05-20-2024, 13:04:26:38, , , , 0, , , , , , , , , 
