05-22-2024, 14:54:35:697, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-22-2024, 14:54:37:308, , 1, , , , , , , , , , , 
05-22-2024, 14:54:41:369, , 0, , , , , , , , , , , 
05-22-2024, 14:54:41:755, , 1, , , , , , , , , , , 
05-22-2024, 14:54:42:711, , 0, , , , , , , , , , , 
05-22-2024, 14:54:44:290, 1, , , , , , , , , , , , 
05-22-2024, 14:54:53:679, 0, , , , , , , , , , , , 
05-22-2024, 14:54:53:979, 1, , , , , , , , , , , , 
05-22-2024, 14:58:08:979, 0, , , , , , , , , , , , 
05-22-2024, 14:58:09:526, 1, , , , , , , , , , , , 
05-22-2024, 14:58:15:475, , 1, , , , , , , , , , , 
05-22-2024, 14:58:16:24, , 0, , , , , , , , , , , 
05-22-2024, 14:58:16:325, , 1, , , , , , , , , , , 
05-22-2024, 14:58:17:18, , , 1, , , , , , , , , , 
