05-21-2024, 15:36:27:769, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-21-2024, 15:36:29:592, , , 1, , , , , , , , , , 
05-21-2024, 15:36:30:898, , , 0, , , , , , , , , , 
05-21-2024, 15:36:32:684, , 1, , , , , , , , , , , 
05-21-2024, 15:36:33:153, , 0, , , , , , , , , , , 
05-21-2024, 15:36:34:465, 1, , , , , , , , , , , , 
05-21-2024, 15:36:44:473, 0, , , , , , , , , , , , 
05-21-2024, 15:36:44:987, 1, , , , , , , , , , , , 
05-21-2024, 15:36:49:990, , 1, , , , , , , , , , , 
05-21-2024, 15:36:52:739, , 0, , , , , , , , , , , 
05-21-2024, 15:36:53:231, , 1, , , , , , , , , , , 
05-21-2024, 15:37:01:761, , , 1, , , , , , , , , , 
05-21-2024, 15:37:06:571, , , 0, , , , , , , , , , 
05-21-2024, 15:37:10:477, 0, , , , , , , , , , , , 
05-21-2024, 15:37:10:866, 1, , , , , , , , , , , , 
05-21-2024, 15:37:11:379, 0, , , , , , , , , , , , 
05-21-2024, 15:37:12:756, , 0, , , , , , , , , , , 
05-21-2024, 15:37:13:196, , 1, , , , , , , , , , , 
05-21-2024, 15:37:13:871, , 0, , , , , , , , , , , 
05-21-2024, 15:37:15:93, , , 1, , , , , , , , , , 
05-21-2024, 15:37:22:504, , , 0, , , , , , , , , , 
