01-22-2024, 12:32:37:124, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
01-22-2024, 12:32:39:378, , , 1, , , , , , , , , , 
01-22-2024, 12:32:40:855, , 1, , , , , , , , , , , 
01-22-2024, 12:34:32:144, , 0, , , , , , , , , , , 
01-22-2024, 12:34:45:588, , , 0, , , , , , , , , , 
01-22-2024, 12:34:48:464, 1, , , , , , , , , , , , 
01-22-2024, 12:34:49:155, 0, , , , , , , , , , , , 
01-22-2024, 12:34:51:224, , 1, , , , , , , , , , , 
01-22-2024, 12:35:19:710, , 0, , , , , , , , , , , 
