05-21-2024, 10:34:02:984, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-21-2024, 10:34:05:349, 1, , , , , , , , , , , , 
05-21-2024, 10:34:06:257, 0, , , , , , , , , , , , 
05-21-2024, 10:34:19:67, , 1, , , , , , , , , , , 
05-21-2024, 10:34:19:744, , 0, , , , , , , , , , , 
05-21-2024, 10:34:21:846, , , 1, , , , , , , , , , 
05-21-2024, 10:34:23:239, , , 0, , , , , , , , , , 
05-21-2024, 10:34:24:168, , , 1, , , , , , , , , , 
05-21-2024, 10:34:24:990, , , 0, , , , , , , , , , 
05-21-2024, 10:34:28:545, , , , 1, , , , , , , , , 
05-21-2024, 10:34:30:184, , , , , , , , 1, , , , , 
05-21-2024, 10:34:31:838, , , , , , 1, , , , , , , 
05-21-2024, 10:34:32:605, , , , , , , , , , , 1, , 
05-21-2024, 10:34:34:587, , , , , , , , , , , 0, , 
05-21-2024, 10:34:35:94, , , , , , 0, , , , , , , 
05-21-2024, 10:34:35:499, , , , , , , , 0, , , , , 
05-21-2024, 10:34:36:16, , , , 0, , , , , , , , , 
