03-28-2024, 12:55:38:764, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
03-28-2024, 12:55:40:382, 1, , , , , , , , , , , , 
03-28-2024, 12:55:41:599, , 1, , , , , , , , , , , 
03-28-2024, 12:55:43:246, , , 1, , , , , , , , , , 
03-28-2024, 12:55:43:716, , , 0, , , , , , , , , , 
03-28-2024, 12:55:43:984, , , 1, , , , , , , , , , 
03-28-2024, 12:55:44:246, , , 0, , , , , , , , , , 
03-28-2024, 12:55:44:570, , , 1, , , , , , , , , , 
03-28-2024, 12:55:44:830, , , 0, , , , , , , , , , 
03-28-2024, 12:55:45:113, , , 1, , , , , , , , , , 
03-28-2024, 12:55:45:900, , 0, , , , , , , , , , , 
03-28-2024, 12:55:46:112, , 1, , , , , , , , , , , 
03-28-2024, 12:55:46:463, , 0, , , , , , , , , , , 
03-28-2024, 12:55:49:345, , 1, , , , , , , , , , , 
