03-20-2024, 11:33:06:885, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
03-20-2024, 11:33:09:535, , 1, , , , , , , , , , , 
03-20-2024, 11:33:10:597, 1, , , , , , , , , , , , 
03-20-2024, 11:33:12:937, , , 1, , , , , , , , , , 
03-20-2024, 11:33:13:760, , , 0, , , , , , , , , , 
03-20-2024, 11:33:14:519, , , 1, , , , , , , , , , 
03-20-2024, 11:33:14:910, , , 0, , , , , , , , , , 
03-20-2024, 11:33:15:922, , 0, , , , , , , , , , , 
03-20-2024, 11:33:16:78, , 1, , , , , , , , , , , 
03-20-2024, 11:33:16:942, 0, , , , , , , , , , , , 
03-20-2024, 11:33:17:123, 1, , , , , , , , , , , , 
03-20-2024, 11:33:18:496, , , 1, , , , , , , , , , 
03-20-2024, 11:33:30:561, , , 0, , , , , , , , , , 
