05-21-2024, 16:29:34:219, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-21-2024, 16:29:36:200, , 1, , , , , , , , , , , 
05-21-2024, 16:29:37:999, , 0, , , , , , , , , , , 
05-21-2024, 16:29:38:788, 1, , , , , , , , , , , , 
05-21-2024, 16:30:16:471, 0, , , , , , , , , , , , 
05-21-2024, 16:30:22:680, , 1, , , , , , , , , , , 
05-21-2024, 16:30:26:506, , 0, , , , , , , , , , , 
05-21-2024, 16:30:27:423, , , 1, , , , , , , , , , 
05-21-2024, 16:30:29:61, , , 0, , , , , , , , , , 
05-21-2024, 16:30:42:841, 1, , , , , , , , , , , , 
05-21-2024, 16:30:46:138, , 1, , , , , , , , , , , 
05-21-2024, 16:30:47:324, , , 1, , , , , , , , , , 
