05-15-2024, 09:29:38:421, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-15-2024, 09:29:43:369, , , , , , , , , , , , 1, 
05-15-2024, 09:29:44:689, , , , 1, , , , , , , , , 
05-15-2024, 09:29:46:286, , 1, , , , , , , , , , , 
05-15-2024, 09:29:48:257, , , 1, , , , , , , , , , 
05-15-2024, 09:29:50:577, , , 0, , , , , , , , , , 
05-15-2024, 09:29:51:102, , , 1, , , , , , , , , , 
05-15-2024, 09:29:52:849, , 0, , , , , , , , , , , 
05-15-2024, 09:29:53:430, , 1, , , , , , , , , , , 
05-15-2024, 09:29:56:827, , 0, , , , , , , , , , , 
05-15-2024, 09:29:57:837, , , 0, , , , , , , , , , 
05-15-2024, 09:29:58:843, , , , , , , , , , , , 0, 
05-15-2024, 09:29:59:711, , , , 0, , , , , , , , , 
