05-16-2024, 09:51:50:141, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-16-2024, 09:51:56:588, , , 1, , , , , , , , , , 
05-16-2024, 09:51:58:353, , 1, , , , , , , , , , , 
05-16-2024, 09:51:59:714, 1, , , , , , , , , , , , 
05-16-2024, 09:52:00:905, , 0, , , , , , , , , , , 
05-16-2024, 09:52:01:972, , , 0, , , , , , , , , , 
05-16-2024, 09:52:03:281, , , 1, , , , , , , , , , 
05-16-2024, 09:52:04:163, , 1, , , , , , , , , , , 
05-16-2024, 09:52:06:518, , , 0, , , , , , , , , , 
05-16-2024, 09:52:08:880, , , 1, , , , , , , , , , 
