05-29-2024, 11:33:34:260, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-29-2024, 11:33:36:985, , 1, , , , , , , , , , , 
05-29-2024, 11:33:39:988, , 0, , , , , , , , , , , 
05-29-2024, 11:33:40:444, , 1, , , , , , , , , , , 
05-29-2024, 11:33:40:922, , 0, , , , , , , , , , , 
05-29-2024, 11:33:41:711, , , 1, , , , , , , , , , 
05-29-2024, 11:33:42:702, , , 0, , , , , , , , , , 
05-29-2024, 11:33:43:289, , , 1, , , , , , , , , , 
05-29-2024, 11:33:44:496, , , 0, , , , , , , , , , 
05-29-2024, 11:33:45:688, , 1, , , , , , , , , , , 
05-29-2024, 11:33:46:405, , 0, , , , , , , , , , , 
05-29-2024, 11:33:48:845, , 1, , , , , , , , , , , 
05-29-2024, 11:33:49:830, , 0, , , , , , , , , , , 
