05-22-2024, 15:06:38:863, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-22-2024, 15:06:40:801, , 1, , , , , , , , , , , 
05-22-2024, 15:06:41:408, , 0, , , , , , , , , , , 
05-22-2024, 15:06:41:742, , 1, , , , , , , , , , , 
05-22-2024, 15:06:43:890, , 0, , , , , , , , , , , 
05-22-2024, 15:06:45:131, , 1, , , , , , , , , , , 
05-22-2024, 15:06:46:175, , 0, , , , , , , , , , , 
05-22-2024, 15:06:47:155, 1, , , , , , , , , , , , 
05-22-2024, 15:06:47:704, 0, , , , , , , , , , , , 
