05-16-2024, 09:29:01:206, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-16-2024, 09:29:12:294, , 1, , , , , , , , , , , 
05-16-2024, 09:29:17:91, , , 1, , , , , , , , , , 
05-16-2024, 09:29:19:129, , , 0, , , , , , , , , , 
05-16-2024, 09:29:19:592, , , 1, , , , , , , , , , 
05-16-2024, 09:29:20:29, , , 0, , , , , , , , , , 
05-16-2024, 09:29:21:503, , 0, , , , , , , , , , , 
05-16-2024, 09:29:21:845, , 1, , , , , , , , , , , 
05-16-2024, 09:29:22:220, , 0, , , , , , , , , , , 
05-16-2024, 09:29:22:531, , 1, , , , , , , , , , , 
05-16-2024, 09:37:52:598, , 0, , , , , , , , , , , 
05-16-2024, 09:37:53:127, , 1, , , , , , , , , , , 
05-16-2024, 09:37:55:177, , , 1, , , , , , , , , , 
05-16-2024, 09:37:56:78, , , 0, , , , , , , , , , 
05-16-2024, 09:37:56:455, , , 1, , , , , , , , , , 
05-16-2024, 09:37:59:252, , , 0, , , , , , , , , , 
05-16-2024, 09:37:59:943, , , 1, , , , , , , , , , 
05-16-2024, 09:38:00:532, , , 0, , , , , , , , , , 
05-16-2024, 09:38:02:74, , 0, , , , , , , , , , , 
05-16-2024, 09:38:04:580, 1, , , , , , , , , , , , 
05-16-2024, 09:38:08:519, , 1, , , , , , , , , , , 
05-16-2024, 09:38:09:577, , 0, , , , , , , , , , , 
05-16-2024, 09:38:10:840, 0, , , , , , , , , , , , 
05-16-2024, 09:38:12:191, , , 1, , , , , , , , , , 
05-16-2024, 09:38:12:914, , , 0, , , , , , , , , , 
05-16-2024, 09:38:13:301, , , 1, , , , , , , , , , 
05-16-2024, 09:38:15:135, , , 0, , , , , , , , , , 
05-16-2024, 09:40:11:326, , 1, , , , , , , , , , , 
05-16-2024, 09:40:12:4, , 0, , , , , , , , , , , 
05-16-2024, 09:40:12:346, , 1, , , , , , , , , , , 
05-16-2024, 09:40:12:742, , 0, , , , , , , , , , , 
05-16-2024, 09:40:13:803, , , 1, , , , , , , , , , 
05-16-2024, 09:40:14:309, , , 0, , , , , , , , , , 
05-16-2024, 09:40:14:688, , , 1, , , , , , , , , , 
05-16-2024, 09:40:19:641, , , 0, , , , , , , , , , 
05-16-2024, 09:40:20:307, , , 1, , , , , , , , , , 
05-16-2024, 09:40:20:837, , , 0, , , , , , , , , , 
05-16-2024, 09:41:06:456, , , 1, , , , , , , , , , 
05-16-2024, 09:41:12:698, , , 0, , , , , , , , , , 
05-16-2024, 09:41:13:396, , , 1, , , , , , , , , , 
05-16-2024, 09:41:23:468, , , 0, , , , , , , , , , 
05-16-2024, 09:45:23:146, , , 1, , , , , , , , , , 
05-16-2024, 09:45:33:93, , 1, , , , , , , , , , , 
05-16-2024, 09:45:34:37, , 0, , , , , , , , , , , 
05-16-2024, 09:45:34:342, , 1, , , , , , , , , , , 
05-16-2024, 09:45:36:789, 1, , , , , , , , , , , , 
05-16-2024, 09:45:37:460, 0, , , , , , , , , , , , 
05-16-2024, 09:45:37:794, 1, , , , , , , , , , , , 
05-16-2024, 09:45:43:278, , 0, , , , , , , , , , , 
05-16-2024, 09:45:49:679, , 1, , , , , , , , , , , 
05-16-2024, 09:45:51:184, , , 0, , , , , , , , , , 
05-16-2024, 09:45:54:599, , 0, , , , , , , , , , , 
05-16-2024, 09:45:57:260, , 1, , , , , , , , , , , 
05-16-2024, 09:45:59:75, , , 1, , , , , , , , , , 
05-16-2024, 09:46:29:880, , , 0, , , , , , , , , , 
05-16-2024, 09:46:35:677, 0, , , , , , , , , , , , 
05-16-2024, 09:46:37:301, , , 1, , , , , , , , , , 
05-16-2024, 09:46:55:757, , , 0, , , , , , , , , , 
05-16-2024, 09:46:57:160, , 0, , , , , , , , , , , 
05-16-2024, 09:47:18:40, , , 1, , , , , , , , , , 
05-16-2024, 09:47:27:705, , 1, , , , , , , , , , , 
05-16-2024, 09:47:28:704, , 0, , , , , , , , , , , 
05-16-2024, 09:47:29:12, , 1, , , , , , , , , , , 
05-16-2024, 09:47:34:444, 1, , , , , , , , , , , , 
05-16-2024, 09:47:34:895, 0, , , , , , , , , , , , 
05-16-2024, 09:47:35:179, 1, , , , , , , , , , , , 
05-16-2024, 09:47:48:219, , 0, , , , , , , , , , , 
05-16-2024, 09:47:51:165, , , 0, , , , , , , , , , 
05-16-2024, 09:47:52:154, , , 1, , , , , , , , , , 
05-16-2024, 09:48:02:277, , 1, , , , , , , , , , , 
05-16-2024, 09:48:04:946, , 0, , , , , , , , , , , 
05-16-2024, 09:48:05:894, , , 0, , , , , , , , , , 
05-16-2024, 09:48:07:61, 0, , , , , , , , , , , , 
05-16-2024, 09:49:05:420, , , 1, , , , , , , , , , 
05-16-2024, 09:49:08:684, , , 0, , , , , , , , , , 
05-16-2024, 09:49:09:796, 1, , , , , , , , , , , , 
05-16-2024, 09:49:14:93, , 1, , , , , , , , , , , 
05-16-2024, 09:49:14:856, , 0, , , , , , , , , , , 
05-16-2024, 09:49:15:132, , 1, , , , , , , , , , , 
05-16-2024, 09:49:17:503, , 0, , , , , , , , , , , 
05-16-2024, 09:49:19:274, , , 1, , , , , , , , , , 
05-16-2024, 09:49:30:83, , 1, , , , , , , , , , , 
05-16-2024, 09:49:31:575, 0, , , , , , , , , , , , 
05-16-2024, 09:49:31:827, 1, , , , , , , , , , , , 
05-16-2024, 09:50:09:694, , , 0, , , , , , , , , , 
05-16-2024, 09:50:23:123, 0, , , , , , , , , , , , 
05-16-2024, 09:50:44:755, , 0, , , , , , , , , , , 
05-16-2024, 09:50:46:444, 1, , , , , , , , , , , , 
05-16-2024, 09:50:48:232, , 1, , , , , , , , , , , 
05-16-2024, 09:51:06:696, , , 1, , , , , , , , , , 
05-16-2024, 09:51:12:706, , , 0, , , , , , , , , , 
05-16-2024, 09:51:13:832, , 0, , , , , , , , , , , 
05-16-2024, 09:51:14:974, 0, , , , , , , , , , , , 
