05-21-2024, 15:49:46:856, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-21-2024, 15:49:49:186, , , 1, , , , , , , , , , 
05-21-2024, 15:49:50:236, , , 0, , , , , , , , , , 
05-21-2024, 15:49:50:784, , , 1, , , , , , , , , , 
05-21-2024, 15:49:51:819, , , 0, , , , , , , , , , 
05-21-2024, 15:49:52:392, , , 1, , , , , , , , , , 
05-21-2024, 15:49:57:284, , , 0, , , , , , , , , , 
05-21-2024, 15:49:57:802, , , 1, , , , , , , , , , 
05-21-2024, 15:49:58:263, , , 0, , , , , , , , , , 
05-21-2024, 15:49:59:560, , 1, , , , , , , , , , , 
05-21-2024, 15:50:00:21, , 0, , , , , , , , , , , 
05-21-2024, 15:50:02:113, , 1, , , , , , , , , , , 
05-21-2024, 15:50:02:598, , 0, , , , , , , , , , , 
05-21-2024, 15:50:04:35, 1, , , , , , , , , , , , 
05-21-2024, 15:50:05:402, 0, , , , , , , , , , , , 
