01-24-2024, 11:10:46:495, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
01-24-2024, 11:10:51:268, 1, , , , , , , , , , , , 
01-24-2024, 11:10:56:55, 0, , , , , , , , , , , , 
01-24-2024, 11:10:56:860, 1, , , , , , , , , , , , 
01-24-2024, 11:10:57:122, 0, , , , , , , , , , , , 
01-24-2024, 11:10:57:357, 1, , , , , , , , , , , , 
01-24-2024, 11:10:57:609, 0, , , , , , , , , , , , 
01-24-2024, 11:10:57:816, 1, , , , , , , , , , , , 
01-24-2024, 11:10:58:68, 0, , , , , , , , , , , , 
01-24-2024, 11:11:00:7, , 1, , , , , , , , , , , 
01-24-2024, 11:11:00:844, 1, , , , , , , , , , , , 
01-24-2024, 11:11:20:292, 0, , , , , , , , , , , , 
01-24-2024, 11:11:21:983, 1, , , , , , , , , , , , 
01-24-2024, 11:11:26:834, 0, , , , , , , , , , , , 
01-24-2024, 11:11:27:280, 1, , , , , , , , , , , , 
01-24-2024, 11:11:27:977, 0, , , , , , , , , , , , 
01-24-2024, 11:11:29:967, 1, , , , , , , , , , , , 
01-24-2024, 11:11:35:2, , , 1, , , , , , , , , , 
01-24-2024, 11:41:44:350, 0, , , , , , , , , , , , 
01-24-2024, 11:41:44:551, 1, , , , , , , , , , , , 
01-24-2024, 11:41:45:655, , 0, , , , , , , , , , , 
01-24-2024, 11:41:45:855, , 1, , , , , , , , , , , 
01-24-2024, 11:41:46:837, , , 0, , , , , , , , , , 
01-24-2024, 11:41:47:17, , , 1, , , , , , , , , , 
