03-21-2024, 13:06:19:294, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
03-21-2024, 13:06:20:809, 1, , , , , , , , , , , , 
03-21-2024, 13:06:22:226, , 1, , , , , , , , , , , 
03-21-2024, 13:06:23:26, , , 1, , , , , , , , , , 
03-21-2024, 13:06:30:145, , 0, , , , , , , , , , , 
03-21-2024, 13:06:30:364, , 1, , , , , , , , , , , 
03-21-2024, 13:06:30:747, , 0, , , , , , , , , , , 
03-21-2024, 13:06:30:896, , 1, , , , , , , , , , , 
03-21-2024, 13:06:31:106, , 0, , , , , , , , , , , 
03-21-2024, 13:06:31:256, , 1, , , , , , , , , , , 
03-21-2024, 13:06:31:392, , 0, , , , , , , , , , , 
03-21-2024, 13:06:31:954, , 1, , , , , , , , , , , 
03-21-2024, 13:06:33:170, , , 0, , , , , , , , , , 
03-21-2024, 13:06:33:348, , , 1, , , , , , , , , , 
03-21-2024, 13:06:33:549, , , 0, , , , , , , , , , 
03-21-2024, 13:06:33:746, , , 1, , , , , , , , , , 
03-21-2024, 13:06:33:912, , , 0, , , , , , , , , , 
03-21-2024, 13:06:34:354, , , 1, , , , , , , , , , 
