05-22-2024, 13:38:45:130, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-22-2024, 13:38:54:770, , 1, , , , , , , , , , , 
05-22-2024, 13:38:55:498, , 0, , , , , , , , , , , 
05-22-2024, 13:38:55:811, , 1, , , , , , , , , , , 
05-22-2024, 13:38:56:775, , 0, , , , , , , , , , , 
05-22-2024, 13:38:57:119, , 1, , , , , , , , , , , 
05-22-2024, 13:41:43:296, , 0, , , , , , , , , , , 
05-22-2024, 13:41:46:924, , 1, , , , , , , , , , , 
05-22-2024, 13:41:50:140, 1, , , , , , , , , , , , 
05-22-2024, 13:42:02:60, 0, , , , , , , , , , , , 
05-22-2024, 13:42:03:453, , 0, , , , , , , , , , , 
