05-22-2024, 13:20:40:788, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-22-2024, 13:20:42:505, , 1, , , , , , , , , , , 
05-22-2024, 13:20:50:536, 1, , , , , , , , , , , , 
05-22-2024, 13:21:00:519, , 0, , , , , , , , , , , 
05-22-2024, 13:21:01:844, 0, , , , , , , , , , , , 
05-22-2024, 13:21:05:536, 1, , , , , , , , , , , , 
05-22-2024, 13:21:22:89, 0, , , , , , , , , , , , 
05-22-2024, 13:21:25:243, , , 1, , , , , , , , , , 
05-22-2024, 13:21:33:222, , , 0, , , , , , , , , , 
05-22-2024, 13:21:34:165, , 1, , , , , , , , , , , 
05-22-2024, 13:21:44:237, 1, , , , , , , , , , , , 
05-22-2024, 13:21:59:658, 0, , , , , , , , , , , , 
05-22-2024, 13:22:00:615, , 0, , , , , , , , , , , 
