03-12-2024, 14:22:21:561, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
03-12-2024, 14:22:23:429, , 1, , , , , , , , , , , 
03-12-2024, 14:22:24:743, , , 1, , , , , , , , , , 
03-12-2024, 14:22:25:741, 1, , , , , , , , , , , , 
03-12-2024, 14:22:28:991, 0, , , , , , , , , , , , 
03-12-2024, 14:22:29:115, 1, , , , , , , , , , , , 
03-12-2024, 14:22:29:793, , 0, , , , , , , , , , , 
03-12-2024, 14:22:29:956, , 1, , , , , , , , , , , 
03-12-2024, 14:22:30:696, , , 0, , , , , , , , , , 
03-12-2024, 14:22:30:882, , , 1, , , , , , , , , , 
03-12-2024, 14:24:33:909, , 0, , , , , , , , , , , 
03-12-2024, 14:24:34:94, , 1, , , , , , , , , , , 
03-12-2024, 14:24:35:779, 0, , , , , , , , , , , , 
03-12-2024, 14:24:35:979, 1, , , , , , , , , , , , 
03-12-2024, 14:24:36:905, , , 0, , , , , , , , , , 
03-12-2024, 14:24:37:60, , , 1, , , , , , , , , , 
