03-20-2024, 11:21:50:668, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
03-20-2024, 11:21:52:158, 1, , , , , , , , , , , , 
03-20-2024, 11:22:13:776, , 1, , , , , , , , , , , 
03-20-2024, 11:22:14:971, , , 1, , , , , , , , , , 
03-20-2024, 11:22:15:959, , , 0, , , , , , , , , , 
03-20-2024, 11:22:16:752, , , 1, , , , , , , , , , 
03-20-2024, 11:22:17:290, , , 0, , , , , , , , , , 
03-20-2024, 11:22:17:539, , , 1, , , , , , , , , , 
03-20-2024, 11:22:17:760, , , 0, , , , , , , , , , 
03-20-2024, 11:22:18:109, , , 1, , , , , , , , , , 
03-20-2024, 11:22:18:486, , , 0, , , , , , , , , , 
03-20-2024, 11:22:19:452, , 0, , , , , , , , , , , 
03-20-2024, 11:22:19:613, , 1, , , , , , , , , , , 
03-20-2024, 11:22:20:477, , , 1, , , , , , , , , , 
03-20-2024, 11:22:21:805, , 0, , , , , , , , , , , 
03-20-2024, 11:22:21:997, , 1, , , , , , , , , , , 
03-20-2024, 11:22:22:562, , 0, , , , , , , , , , , 
03-20-2024, 11:22:22:777, , 1, , , , , , , , , , , 
03-20-2024, 11:22:24:474, 0, , , , , , , , , , , , 
03-20-2024, 11:22:24:653, 1, , , , , , , , , , , , 
