03-11-2024, 11:47:05:217, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
03-11-2024, 11:47:08:44, , 1, , , , , , , , , , , 
03-11-2024, 11:47:09:31, , , 1, , , , , , , , , , 
03-11-2024, 11:47:10:119, 1, , , , , , , , , , , , 
03-11-2024, 11:47:17:323, , 0, , , , , , , , , , , 
03-11-2024, 11:47:17:486, , 1, , , , , , , , , , , 
03-11-2024, 11:47:18:845, , , 0, , , , , , , , , , 
03-11-2024, 11:47:18:999, , , 1, , , , , , , , , , 
03-11-2024, 11:48:29:280, , , 0, , , , , , , , , , 
03-11-2024, 11:48:29:435, , , 1, , , , , , , , , , 
03-11-2024, 11:48:30:433, , 0, , , , , , , , , , , 
03-11-2024, 11:48:30:572, , 1, , , , , , , , , , , 
