05-21-2024, 16:27:21:358, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-21-2024, 16:27:23:61, , 1, , , , , , , , , , , 
05-21-2024, 16:27:31:598, , 0, , , , , , , , , , , 
05-21-2024, 16:27:32:551, 1, , , , , , , , , , , , 
05-21-2024, 16:27:49:627, 0, , , , , , , , , , , , 
05-21-2024, 16:27:50:11, 1, , , , , , , , , , , , 
05-21-2024, 16:27:59:826, 0, , , , , , , , , , , , 
05-21-2024, 16:28:00:489, 1, , , , , , , , , , , , 
05-21-2024, 16:28:03:76, 0, , , , , , , , , , , , 
05-21-2024, 16:28:05:461, 1, , , , , , , , , , , , 
05-21-2024, 16:28:09:906, 0, , , , , , , , , , , , 
05-21-2024, 16:28:10:797, , 1, , , , , , , , , , , 
05-21-2024, 16:28:16:415, , 0, , , , , , , , , , , 
05-21-2024, 16:28:18:11, , , 1, , , , , , , , , , 
05-21-2024, 16:28:30:558, , , 0, , , , , , , , , , 
05-21-2024, 16:28:32:956, , , 1, , , , , , , , , , 
05-21-2024, 16:28:35:635, , , 0, , , , , , , , , , 
05-21-2024, 16:28:35:996, , , 1, , , , , , , , , , 
05-21-2024, 16:28:38:472, , , 0, , , , , , , , , , 
05-21-2024, 16:28:39:814, , , 1, , , , , , , , , , 
05-21-2024, 16:28:41:561, , , 0, , , , , , , , , , 
05-21-2024, 16:28:45:127, , , 1, , , , , , , , , , 
