02-29-2024, 13:05:52:772, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
02-29-2024, 13:05:54:657, 1, , , , , , , , , , , , 
02-29-2024, 13:05:55:530, , 1, , , , , , , , , , , 
02-29-2024, 13:05:56:391, , , 1, , , , , , , , , , 
02-29-2024, 13:06:41:796, , , 0, , , , , , , , , , 
02-29-2024, 13:06:42:291, , , 1, , , , , , , , , , 
02-29-2024, 13:06:42:372, , , 0, , , , , , , , , , 
02-29-2024, 13:06:42:451, , , 1, , , , , , , , , , 
02-29-2024, 13:06:42:542, , , 0, , , , , , , , , , 
02-29-2024, 13:06:42:629, , , 1, , , , , , , , , , 
02-29-2024, 13:06:42:711, , , 0, , , , , , , , , , 
02-29-2024, 13:06:42:792, , , 1, , , , , , , , , , 
02-29-2024, 13:06:42:874, , , 0, , , , , , , , , , 
02-29-2024, 13:06:42:961, , , 1, , , , , , , , , , 
02-29-2024, 13:06:43:43, , , 0, , , , , , , , , , 
02-29-2024, 13:06:43:125, , , 1, , , , , , , , , , 
02-29-2024, 13:06:43:213, , , 0, , , , , , , , , , 
02-29-2024, 13:06:43:295, , , 1, , , , , , , , , , 
02-29-2024, 13:06:43:377, , , 0, , , , , , , , , , 
02-29-2024, 13:07:06:192, , , 1, , , , , , , , , , 
