05-22-2024, 14:34:13:363, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-22-2024, 14:34:14:999, , 1, , , , , , , , , , , 
05-22-2024, 14:34:15:596, , 0, , , , , , , , , , , 
05-22-2024, 14:34:15:841, , 1, , , , , , , , , , , 
05-22-2024, 14:34:16:167, , 0, , , , , , , , , , , 
05-22-2024, 14:34:17:209, , , 1, , , , , , , , , , 
05-22-2024, 14:34:18:48, , , 0, , , , , , , , , , 
05-22-2024, 14:34:18:376, , , 1, , , , , , , , , , 
05-22-2024, 14:34:18:700, , , 0, , , , , , , , , , 
05-22-2024, 14:34:19:25, , , 1, , , , , , , , , , 
05-22-2024, 14:34:19:432, , , 0, , , , , , , , , , 
05-22-2024, 14:35:19:649, , 1, , , , , , , , , , , 
05-22-2024, 14:35:20:169, , 0, , , , , , , , , , , 
05-22-2024, 14:35:20:498, , 1, , , , , , , , , , , 
05-22-2024, 14:35:20:876, , 0, , , , , , , , , , , 
