03-05-2024, 14:15:17:756, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
03-05-2024, 14:15:23:792, , 1, , , , , , , , , , , 
03-05-2024, 14:15:26:861, , 0, , , , , , , , , , , 
03-05-2024, 14:15:28:4, , 1, , , , , , , , , , , 
03-05-2024, 14:15:28:876, 1, , , , , , , , , , , , 
03-05-2024, 14:15:31:675, , 0, , , , , , , , , , , 
03-05-2024, 14:15:33:68, , 1, , , , , , , , , , , 
03-05-2024, 14:15:34:213, 0, , , , , , , , , , , , 
03-05-2024, 14:15:35:251, 1, , , , , , , , , , , , 
03-05-2024, 14:15:36:179, , , 1, , , , , , , , , , 
03-05-2024, 14:15:38:173, , 0, , , , , , , , , , , 
03-05-2024, 14:15:38:628, , 1, , , , , , , , , , , 
03-05-2024, 14:15:39:582, 0, , , , , , , , , , , , 
03-05-2024, 14:15:40:473, 1, , , , , , , , , , , , 
03-05-2024, 14:16:22:65, 0, , , , , , , , , , , , 
03-05-2024, 14:16:22:845, 1, , , , , , , , , , , , 
03-05-2024, 14:16:23:201, 0, , , , , , , , , , , , 
03-05-2024, 14:16:23:513, 1, , , , , , , , , , , , 
03-05-2024, 14:16:23:961, 0, , , , , , , , , , , , 
03-05-2024, 14:16:24:331, 1, , , , , , , , , , , , 
03-05-2024, 14:16:24:665, 0, , , , , , , , , , , , 
03-05-2024, 14:16:25:232, 1, , , , , , , , , , , , 
03-05-2024, 14:16:25:601, 0, , , , , , , , , , , , 
03-05-2024, 14:16:25:919, 1, , , , , , , , , , , , 
03-05-2024, 14:16:26:329, 0, , , , , , , , , , , , 
03-05-2024, 14:16:27:47, 1, , , , , , , , , , , , 
03-05-2024, 14:16:27:616, 0, , , , , , , , , , , , 
03-05-2024, 14:16:28:482, 1, , , , , , , , , , , , 
03-05-2024, 14:16:28:934, 0, , , , , , , , , , , , 
03-05-2024, 14:16:29:266, 1, , , , , , , , , , , , 
03-05-2024, 14:16:29:744, 0, , , , , , , , , , , , 
03-05-2024, 14:16:30:816, , 0, , , , , , , , , , , 
03-05-2024, 14:16:31:82, , 1, , , , , , , , , , , 
