03-19-2024, 15:45:59:331, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
03-19-2024, 15:46:01:208, , 1, , , , , , , , , , , 
03-19-2024, 15:46:02:227, , , 1, , , , , , , , , , 
03-19-2024, 15:46:03:519, 1, , , , , , , , , , , , 
03-19-2024, 15:46:05:807, 0, , , , , , , , , , , , 
03-19-2024, 15:46:06:834, , 0, , , , , , , , , , , 
03-19-2024, 15:46:07:341, , 1, , , , , , , , , , , 
03-19-2024, 15:46:08:784, , , 0, , , , , , , , , , 
03-19-2024, 15:46:10:36, , 0, , , , , , , , , , , 
03-19-2024, 15:46:10:207, , 1, , , , , , , , , , , 
03-19-2024, 15:46:10:499, , 0, , , , , , , , , , , 
03-19-2024, 15:46:10:677, , 1, , , , , , , , , , , 
03-19-2024, 15:46:11:682, , , 1, , , , , , , , , , 
03-19-2024, 15:46:12:885, 1, , , , , , , , , , , , 
