05-21-2024, 16:21:26:374, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-21-2024, 16:21:28:181, , 1, , , , , , , , , , , 
05-21-2024, 16:21:28:957, , 0, , , , , , , , , , , 
05-21-2024, 16:21:29:965, 1, , , , , , , , , , , , 
05-21-2024, 16:21:32:154, , 1, , , , , , , , , , , 
05-21-2024, 16:21:34:217, , 0, , , , , , , , , , , 
05-21-2024, 16:21:37:151, , 1, , , , , , , , , , , 
05-21-2024, 16:21:40:285, 0, , , , , , , , , , , , 
05-21-2024, 16:21:43:290, , 0, , , , , , , , , , , 
05-21-2024, 16:21:44:182, , , 1, , , , , , , , , , 
05-21-2024, 16:21:56:132, 1, , , , , , , , , , , , 
05-21-2024, 16:22:06:796, 0, , , , , , , , , , , , 
05-21-2024, 16:22:09:415, , , 0, , , , , , , , , , 
05-21-2024, 16:22:11:968, 1, , , , , , , , , , , , 
05-21-2024, 16:22:14:204, , 1, , , , , , , , , , , 
05-21-2024, 16:22:14:810, , 0, , , , , , , , , , , 
05-21-2024, 16:22:18:823, , , 1, , , , , , , , , , 
05-21-2024, 16:22:23:655, , , 0, , , , , , , , , , 
