05-29-2024, 11:45:28:922, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-29-2024, 11:45:30:947, , 1, , , , , , , , , , , 
05-29-2024, 11:45:32:656, , 0, , , , , , , , , , , 
05-29-2024, 11:45:34:52, 1, , , , , , , , , , , , 
05-29-2024, 11:45:34:874, 0, , , , , , , , , , , , 
05-29-2024, 11:45:36:134, , , , 1, , , , , , , , , 
05-29-2024, 11:45:36:611, , , , 0, , , , , , , , , 
05-29-2024, 11:45:37:393, , , , 1, , , , , , , , , 
05-29-2024, 11:45:37:938, , , , 0, , , , , , , , , 
05-29-2024, 11:45:39:433, , 1, , , , , , , , , , , 
05-29-2024, 11:45:39:962, , 0, , , , , , , , , , , 
