05-22-2024, 15:10:37:822, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-22-2024, 15:10:39:611, , , 1, , , , , , , , , , 
05-22-2024, 15:10:40:114, , , 0, , , , , , , , , , 
05-22-2024, 15:10:40:390, , , 1, , , , , , , , , , 
05-22-2024, 15:10:41:393, , 1, , , , , , , , , , , 
05-22-2024, 15:10:44:304, , , 0, , , , , , , , , , 
05-22-2024, 15:10:48:685, , 0, , , , , , , , , , , 
05-22-2024, 15:10:49:673, , 1, , , , , , , , , , , 
05-22-2024, 15:10:57:701, 1, , , , , , , , , , , , 
05-22-2024, 15:11:00:917, , 0, , , , , , , , , , , 
05-22-2024, 15:11:01:996, 0, , , , , , , , , , , , 
05-22-2024, 15:11:02:356, 1, , , , , , , , , , , , 
05-22-2024, 15:11:02:903, 0, , , , , , , , , , , , 
05-22-2024, 15:11:03:537, 1, , , , , , , , , , , , 
05-22-2024, 15:11:04:498, 0, , , , , , , , , , , , 
05-22-2024, 15:11:04:835, 1, , , , , , , , , , , , 
05-22-2024, 15:11:05:601, 0, , , , , , , , , , , , 
05-22-2024, 15:11:07:876, 1, , , , , , , , , , , , 
05-22-2024, 15:11:09:582, 0, , , , , , , , , , , , 
05-22-2024, 15:11:09:911, 1, , , , , , , , , , , , 
