03-22-2024, 12:27:46:106, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
03-22-2024, 12:27:47:384, 1, , , , , , , , , , , , 
03-22-2024, 12:27:48:327, , 1, , , , , , , , , , , 
03-22-2024, 12:27:52:260, , , 1, , , , , , , , , , 
03-22-2024, 12:27:53:414, , , 0, , , , , , , , , , 
03-22-2024, 12:27:54:183, , , 1, , , , , , , , , , 
03-22-2024, 12:27:54:386, , , 0, , , , , , , , , , 
03-22-2024, 12:27:55:286, , 0, , , , , , , , , , , 
03-22-2024, 12:27:55:462, , 1, , , , , , , , , , , 
03-22-2024, 12:27:55:627, , 0, , , , , , , , , , , 
03-22-2024, 12:27:55:770, , 1, , , , , , , , , , , 
03-22-2024, 12:27:55:928, , 0, , , , , , , , , , , 
03-22-2024, 12:27:56:87, , 1, , , , , , , , , , , 
03-22-2024, 12:27:56:844, 0, , , , , , , , , , , , 
03-22-2024, 12:27:57:120, 1, , , , , , , , , , , , 
