05-21-2024, 15:42:47:337, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-21-2024, 15:42:53:217, 1, , , , , , , , , , , , 
05-21-2024, 15:42:53:575, 0, , , , , , , , , , , , 
05-21-2024, 15:42:55:62, , 1, , , , , , , , , , , 
05-21-2024, 15:42:55:367, , 0, , , , , , , , , , , 
05-21-2024, 15:42:56:656, , , 1, , , , , , , , , , 
05-21-2024, 15:42:56:939, , , 0, , , , , , , , , , 
05-21-2024, 15:42:59:332, , , 1, , , , , , , , , , 
05-21-2024, 15:43:00:158, , , 0, , , , , , , , , , 
05-21-2024, 15:43:01:998, , 1, , , , , , , , , , , 
05-21-2024, 15:43:03:312, , 0, , , , , , , , , , , 
05-21-2024, 15:43:04:526, 1, , , , , , , , , , , , 
05-21-2024, 15:43:05:242, 0, , , , , , , , , , , , 
