05-28-2024, 16:09:41:80, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-28-2024, 16:09:42:988, , 1, , , , , , , , , , , 
05-28-2024, 16:09:43:501, , 0, , , , , , , , , , , 
05-28-2024, 16:09:43:863, , 1, , , , , , , , , , , 
05-28-2024, 16:09:48:715, , , 1, , , , , , , , , , 
05-28-2024, 16:09:49:757, , , 0, , , , , , , , , , 
05-28-2024, 16:09:50:935, , 0, , , , , , , , , , , 
05-28-2024, 16:09:52:225, , , , , , , , , , , , 1, 
05-28-2024, 16:09:53:90, , , , , , , , , , , , 0, 
05-28-2024, 16:09:57:36, , , , 1, , , , , , , , , 
05-28-2024, 16:09:58:487, , , , , , , , 1, , , , , 
05-28-2024, 16:09:58:883, , , , , , 1, , , , , , , 
05-28-2024, 16:09:59:256, , , , , , , , , , , 1, , 
05-28-2024, 16:09:59:598, , , , , , , , , 1, , , , 
05-28-2024, 16:09:59:995, , , , , , , , , , 1, , , 
05-28-2024, 16:10:00:915, , , , , , , , , , , , 1, 
05-28-2024, 16:10:02:8, , 1, , , , , , , , , , , 
05-28-2024, 16:10:06:57, , 0, , , , , , , , , , , 
05-28-2024, 16:10:07:796, , , , , , , , , , , , 0, 
05-28-2024, 16:10:09:482, , , , , , , , , , 0, , , 
05-28-2024, 16:10:09:908, , , , , , , , , 0, , , , 
05-28-2024, 16:10:10:309, , , , , , , , , , , 0, , 
05-28-2024, 16:10:10:792, , , , , , 0, , , , , , , 
05-28-2024, 16:10:11:196, , , , , , , , 0, , , , , 
05-28-2024, 16:10:11:540, , , , 0, , , , , , , , , 
