05-22-2024, 15:07:23:389, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-22-2024, 15:07:24:926, , 1, , , , , , , , , , , 
05-22-2024, 15:07:25:619, , 0, , , , , , , , , , , 
05-22-2024, 15:07:25:949, , 1, , , , , , , , , , , 
05-22-2024, 15:07:26:335, , 0, , , , , , , , , , , 
05-22-2024, 15:07:27:347, , , 1, , , , , , , , , , 
05-22-2024, 15:07:27:898, , , 0, , , , , , , , , , 
05-22-2024, 15:07:28:255, , , 1, , , , , , , , , , 
05-22-2024, 15:07:28:694, , , 0, , , , , , , , , , 
05-22-2024, 15:07:29:781, 1, , , , , , , , , , , , 
05-22-2024, 15:07:30:320, 0, , , , , , , , , , , , 
