05-14-2024, 10:36:34:287, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-14-2024, 10:36:55:462, , , , 1, , , , , , , , , 
05-14-2024, 10:37:08:20, , , , , , , , 1, , , , , 
05-14-2024, 10:37:09:455, , , , , , 1, , , , , , , 
05-14-2024, 10:37:09:900, , , , , , , , , , , 1, , 
05-14-2024, 10:37:10:322, , , , , , , , , 1, , , , 
05-14-2024, 10:37:10:879, , , , , , , , , , 1, , , 
05-14-2024, 10:37:12:333, , , , , , , , , , , , 1, 
05-14-2024, 10:37:13:475, , 1, , , , , , , , , , , 
05-14-2024, 10:37:14:639, , , 1, , , , , , , , , , 
05-14-2024, 10:37:16:167, , 0, , , , , , , , , , , 
05-14-2024, 10:37:16:634, , 1, , , , , , , , , , , 
05-14-2024, 10:37:19:328, , 0, , , , , , , , , , , 
05-14-2024, 10:37:19:774, , 1, , , , , , , , , , , 
05-14-2024, 10:37:20:807, , , 0, , , , , , , , , , 
05-14-2024, 10:37:21:112, , , 1, , , , , , , , , , 
05-14-2024, 10:37:23:540, , 0, , , , , , , , , , , 
05-14-2024, 10:37:23:844, , 1, , , , , , , , , , , 
05-14-2024, 10:37:27:150, , 0, , , , , , , , , , , 
05-14-2024, 10:37:27:428, , 1, , , , , , , , , , , 
05-14-2024, 10:37:29:396, , , 0, , , , , , , , , , 
05-14-2024, 10:37:30:514, , 0, , , , , , , , , , , 
05-14-2024, 10:37:33:40, , , , , , , , , , 0, , , 
05-14-2024, 10:37:33:461, , , , , , , , , 0, , , , 
05-14-2024, 10:37:34:26, , , , , , , , , , , 0, , 
05-14-2024, 10:37:34:474, , , , , , 0, , , , , , , 
05-14-2024, 10:37:35:7, , , , , , , , 0, , , , , 
05-14-2024, 10:37:35:415, , , , 0, , , , , , , , , 
05-14-2024, 10:37:57:905, , , , 1, , , , , , , , , 
05-14-2024, 10:38:07:838, , , , , , , 1, , , , , , 
05-14-2024, 10:38:41:264, , , , , , , 0, , , , , , 
05-14-2024, 10:38:52:409, , , , , , , 1, , , , , , 
05-14-2024, 10:46:26:50, , 1, , , , , , , , , , , 
05-14-2024, 10:46:27:718, , , 1, , , , , , , , , , 
05-14-2024, 10:46:28:514, , , 0, , , , , , , , , , 
05-14-2024, 10:46:30:662, , 0, , , , , , , , , , , 
05-14-2024, 10:46:31:54, , 1, , , , , , , , , , , 
05-14-2024, 10:46:58:664, , 0, , , , , , , , , , , 
05-14-2024, 10:46:59:620, , , , , , , , , , , , 0, 
05-14-2024, 10:47:00:631, , , , 0, , , , , , , , , 
