05-29-2024, 11:17:40:302, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-29-2024, 11:17:43:792, , 1, , , , , , , , , , , 
05-29-2024, 11:17:47:697, 1, , , , , , , , , , , , 
05-29-2024, 11:17:54:63, , , 1, , , , , , , , , , 
05-29-2024, 11:17:56:409, , , 0, , , , , , , , , , 
05-29-2024, 11:17:57:648, , 0, , , , , , , , , , , 
05-29-2024, 11:17:58:803, 0, , , , , , , , , , , , 
05-29-2024, 11:18:04:617, , , , 1, , , , , , , , , 
05-29-2024, 11:18:05:149, , , , , , , , 1, , , , , 
05-29-2024, 11:18:05:482, , , , , , , , 0, , , , , 
05-29-2024, 11:18:06:159, , , , 0, , , , , , , , , 
