05-22-2024, 14:51:05:599, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-22-2024, 14:51:07:488, 1, , , , , , , , , , , , 
05-22-2024, 14:51:08:801, 0, , , , , , , , , , , , 
05-22-2024, 14:51:35:682, , 1, , , , , , , , , , , 
05-22-2024, 14:51:36:677, , 0, , , , , , , , , , , 
05-22-2024, 14:51:37:60, , 1, , , , , , , , , , , 
05-22-2024, 14:51:38:28, , , 1, , , , , , , , , , 
05-22-2024, 14:51:38:640, , , 0, , , , , , , , , , 
05-22-2024, 14:51:39:114, , , 1, , , , , , , , , , 
05-22-2024, 14:51:40:432, , , 0, , , , , , , , , , 
05-22-2024, 14:51:41:435, , 0, , , , , , , , , , , 
