01-22-2024, 12:22:50:104, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
01-22-2024, 12:22:52:539, , , 1, , , , , , , , , , 
01-22-2024, 12:22:53:854, , 1, , , , , , , , , , , 
01-22-2024, 12:22:55:156, 1, , , , , , , , , , , , 
01-22-2024, 12:22:58:475, , , , 1, , , , , , , , , 
01-22-2024, 12:22:59:460, , , , , , , , 1, , , , , 
01-22-2024, 12:23:00:166, , , , , , 1, , , , , , , 
01-22-2024, 12:23:00:718, , , , , , , , , , , 1, , 
01-22-2024, 12:23:02:60, , , , , , , , , 1, , , , 
01-22-2024, 12:23:03:253, , , , , , , , , 0, , , , 
01-22-2024, 12:23:03:642, , , , , , , , , 1, , , , 
01-22-2024, 12:23:04:30, , , , , , , , , 0, , , , 
01-22-2024, 12:23:05:360, , , , , , , , , , 1, , , 
01-22-2024, 12:23:05:740, , , , , , , , , , 0, , , 
01-22-2024, 12:23:06:47, , , , , , , , , , 1, , , 
01-22-2024, 12:23:06:354, , , , , , , , , , 0, , , 
