02-20-2024, 14:37:23:148, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
02-20-2024, 14:37:28:462, 1, , , , , , , , , , , , 
02-20-2024, 14:37:29:444, , 1, , , , , , , , , , , 
02-20-2024, 14:37:30:224, , , 1, , , , , , , , , , 
02-20-2024, 14:37:32:27, , , , 1, , , , , , , , , 
02-20-2024, 14:37:34:557, , , , 0, , , , , , , , , 
02-20-2024, 14:37:40:67, , , , 1, , , , , , , , , 
02-20-2024, 14:37:43:92, , , , 0, , , , , , , , , 
02-20-2024, 14:38:05:641, , , , 1, , , , , , , , , 
02-20-2024, 14:38:08:606, , , , 0, , , , , , , , , 
02-20-2024, 14:38:23:135, , , , 1, , , , , , , , , 
02-20-2024, 14:38:25:800, , , , , , , , 1, , , , , 
02-20-2024, 14:38:27:842, , , , , , , , 0, , , , , 
02-20-2024, 14:38:30:859, , , , , , , , , , , , 1, 
02-20-2024, 14:38:31:267, , , , , , , , , , , , , 1
02-20-2024, 14:38:35:800, , , , , , 1, , , , , , , 
02-20-2024, 14:38:37:492, , , , , , 0, , , , , , , 
02-20-2024, 14:38:41:471, , , , , , , , , , , 1, , 
02-20-2024, 14:38:42:723, , , , , , , , , , , 0, , 
02-20-2024, 14:38:46:444, , , , , , , , , 1, , , , 
02-20-2024, 14:38:47:910, , , , , , , , , 0, , , , 
02-20-2024, 14:38:51:174, , , , , , , , , , 1, , , 
02-20-2024, 14:38:52:921, , , , , , , , , , 0, , , 
02-20-2024, 14:38:54:193, , , , , , , , , , 1, , , 
02-20-2024, 14:38:56:973, , , , , , , 1, , , , , , 
02-20-2024, 14:38:58:628, , , , , , , 0, , , , , , 
02-20-2024, 14:39:03:500, , , , , 1, , , , , , , , 
02-20-2024, 14:39:06:25, , , , , 0, , , , , , , , 
02-20-2024, 14:39:10:109, , , , 0, , , , , , , , , 
02-20-2024, 14:39:11:920, 0, , , , , , , , , , , , 
02-20-2024, 14:39:12:754, , 0, , , , , , , , , , , 
02-20-2024, 14:39:14:507, , , 0, , , , , , , , , , 
