05-21-2024, 15:38:39:365, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-21-2024, 15:38:42:128, , 1, , , , , , , , , , , 
05-21-2024, 15:38:44:486, , 0, , , , , , , , , , , 
05-21-2024, 15:38:47:511, , , 1, , , , , , , , , , 
05-21-2024, 15:38:48:200, , , 0, , , , , , , , , , 
05-21-2024, 15:38:49:780, 1, , , , , , , , , , , , 
05-21-2024, 15:38:50:164, 0, , , , , , , , , , , , 
05-21-2024, 15:38:51:179, 1, , , , , , , , , , , , 
05-21-2024, 15:38:51:647, 0, , , , , , , , , , , , 
05-21-2024, 15:38:53:162, , , 1, , , , , , , , , , 
05-21-2024, 15:39:00:702, , , 0, , , , , , , , , , 
05-21-2024, 15:39:00:977, , , 1, , , , , , , , , , 
05-21-2024, 15:39:05:303, , , 0, , , , , , , , , , 
05-21-2024, 15:39:06:561, , 1, , , , , , , , , , , 
05-21-2024, 15:39:07:83, , 0, , , , , , , , , , , 
05-21-2024, 15:39:07:410, , 1, , , , , , , , , , , 
05-21-2024, 15:39:09:428, , 0, , , , , , , , , , , 
05-21-2024, 15:39:15:102, 1, , , , , , , , , , , , 
05-21-2024, 15:39:18:77, 0, , , , , , , , , , , , 
05-21-2024, 15:39:19:460, , 1, , , , , , , , , , , 
05-21-2024, 15:39:20:628, , 0, , , , , , , , , , , 
05-21-2024, 15:39:21:200, , 1, , , , , , , , , , , 
05-21-2024, 15:39:23:523, , 0, , , , , , , , , , , 
05-21-2024, 15:39:25:233, , , 1, , , , , , , , , , 
05-21-2024, 15:39:26:122, , , 0, , , , , , , , , , 
05-21-2024, 15:40:15:637, , 1, , , , , , , , , , , 
05-21-2024, 15:40:16:179, , 0, , , , , , , , , , , 
05-21-2024, 15:40:16:530, , 1, , , , , , , , , , , 
05-21-2024, 15:40:17:472, , 0, , , , , , , , , , , 
05-21-2024, 15:40:19:387, , 1, , , , , , , , , , , 
05-21-2024, 15:40:19:869, , 0, , , , , , , , , , , 
05-21-2024, 15:40:23:651, , , 1, , , , , , , , , , 
05-21-2024, 15:40:24:27, , , 0, , , , , , , , , , 
05-21-2024, 15:40:24:349, , , 1, , , , , , , , , , 
05-21-2024, 15:40:24:536, , , 0, , , , , , , , , , 
05-21-2024, 15:40:53:37, , 1, , , , , , , , , , , 
05-21-2024, 15:41:04:264, 1, , , , , , , , , , , , 
05-21-2024, 15:41:10:110, 0, , , , , , , , , , , , 
05-21-2024, 15:41:11:185, , 0, , , , , , , , , , , 
05-21-2024, 15:41:12:387, , , 1, , , , , , , , , , 
05-21-2024, 15:41:16:956, 1, , , , , , , , , , , , 
05-21-2024, 15:41:28:133, , , 0, , , , , , , , , , 
05-21-2024, 15:41:34:564, 0, , , , , , , , , , , , 
05-21-2024, 15:41:35:299, 1, , , , , , , , , , , , 
05-21-2024, 15:41:37:25, 0, , , , , , , , , , , , 
05-21-2024, 15:41:38:677, , 1, , , , , , , , , , , 
05-21-2024, 15:41:39:357, , 0, , , , , , , , , , , 
05-21-2024, 15:41:40:465, , , 1, , , , , , , , , , 
05-21-2024, 15:41:40:903, , , 0, , , , , , , , , , 
05-21-2024, 15:41:41:885, , , 1, , , , , , , , , , 
05-21-2024, 15:41:45:289, , , 0, , , , , , , , , , 
05-21-2024, 15:41:48:74, , , 1, , , , , , , , , , 
05-21-2024, 15:41:57:103, , , 0, , , , , , , , , , 
