05-28-2024, 16:15:43:112, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-28-2024, 16:15:45:316, , 1, , , , , , , , , , , 
05-28-2024, 16:15:52:100, 1, , , , , , , , , , , , 
05-28-2024, 16:15:52:906, 0, , , , , , , , , , , , 
05-28-2024, 16:15:54:837, , , , 1, , , , , , , , , 
05-28-2024, 16:15:57:604, , 0, , , , , , , , , , , 
05-28-2024, 16:15:57:911, , 1, , , , , , , , , , , 
05-28-2024, 16:15:58:356, , 0, , , , , , , , , , , 
05-28-2024, 16:15:58:689, , 1, , , , , , , , , , , 
05-28-2024, 16:15:59:20, , 0, , , , , , , , , , , 
05-28-2024, 16:16:00:451, , , 1, , , , , , , , , , 
05-28-2024, 16:16:00:867, , , 0, , , , , , , , , , 
05-28-2024, 16:16:01:229, , , 1, , , , , , , , , , 
05-28-2024, 16:16:01:645, , , 0, , , , , , , , , , 
05-28-2024, 16:16:02:37, , , 1, , , , , , , , , , 
05-28-2024, 16:16:02:451, , , 0, , , , , , , , , , 
05-28-2024, 16:16:02:844, , , 1, , , , , , , , , , 
05-28-2024, 16:16:03:207, , , 0, , , , , , , , , , 
05-28-2024, 16:16:03:543, , , 1, , , , , , , , , , 
05-28-2024, 16:16:03:876, , , 0, , , , , , , , , , 
05-28-2024, 16:16:04:294, , , 1, , , , , , , , , , 
05-28-2024, 16:16:04:573, , , 0, , , , , , , , , , 
05-28-2024, 16:16:06:980, , , , 0, , , , , , , , , 
