05-21-2024, 14:40:00:527, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-21-2024, 14:40:02:306, , , 1, , , , , , , , , , 
05-21-2024, 14:40:09:243, , , 0, , , , , , , , , , 
05-21-2024, 14:40:10:849, , 1, , , , , , , , , , , 
05-21-2024, 14:40:11:882, , 0, , , , , , , , , , , 
05-21-2024, 14:40:12:180, , 1, , , , , , , , , , , 
05-21-2024, 14:40:12:719, , 0, , , , , , , , , , , 
05-21-2024, 14:40:13:125, , 1, , , , , , , , , , , 
05-21-2024, 14:40:14:32, 1, , , , , , , , , , , , 
05-21-2024, 14:40:27:573, , 0, , , , , , , , , , , 
05-21-2024, 14:40:28:484, 0, , , , , , , , , , , , 
