02-05-2024, 13:14:19:747, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
02-05-2024, 13:14:22:791, 1, , , , , , , , , , , , 
02-05-2024, 13:14:24:209, , , , 1, , , , , , , , , 
02-05-2024, 13:14:26:204, , , , , , , , , , 1, , , 
02-05-2024, 13:14:26:807, , , , , , , , , , 0, , , 
02-05-2024, 13:14:28:189, , , , , , , , , 1, , , , 
02-05-2024, 13:14:28:685, , , , , , , , , 0, , , , 
02-05-2024, 13:14:29:282, , , , , , , , , 1, , , , 
02-05-2024, 13:14:29:686, , , , , , , , , 0, , , , 
02-05-2024, 13:14:30:672, , , , , , , , , , 1, , , 
02-05-2024, 13:14:31:65, , , , , , , , , , 0, , , 
