05-22-2024, 14:41:18:965, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-22-2024, 14:41:21:256, , , 1, , , , , , , , , , 
05-22-2024, 14:41:46:487, , , 0, , , , , , , , , , 
05-22-2024, 14:41:49:636, , 1, , , , , , , , , , , 
05-22-2024, 14:41:57:347, 1, , , , , , , , , , , , 
05-22-2024, 14:42:03:934, , 0, , , , , , , , , , , 
05-22-2024, 14:42:11:779, , 1, , , , , , , , , , , 
05-22-2024, 14:42:13:95, , , 1, , , , , , , , , , 
05-22-2024, 14:42:29:54, , , 0, , , , , , , , , , 
05-22-2024, 14:42:30:451, , 0, , , , , , , , , , , 
05-22-2024, 14:42:31:296, 0, , , , , , , , , , , , 
