05-22-2024, 15:14:11:609, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-22-2024, 15:14:15:333, 1, , , , , , , , , , , , 
05-22-2024, 15:14:17:122, , 1, , , , , , , , , , , 
05-22-2024, 15:14:23:107, , 0, , , , , , , , , , , 
05-22-2024, 15:14:23:951, , 1, , , , , , , , , , , 
05-22-2024, 15:14:32:306, , 0, , , , , , , , , , , 
05-22-2024, 15:14:33:232, , 1, , , , , , , , , , , 
05-22-2024, 15:14:33:917, , 0, , , , , , , , , , , 
05-22-2024, 15:14:34:930, , 1, , , , , , , , , , , 
05-22-2024, 15:14:36:293, , , 1, , , , , , , , , , 
05-22-2024, 15:14:49:342, , , 0, , , , , , , , , , 
05-22-2024, 15:14:50:228, , 0, , , , , , , , , , , 
05-22-2024, 15:14:51:247, 0, , , , , , , , , , , , 
05-22-2024, 15:14:53:217, , , 1, , , , , , , , , , 
05-22-2024, 15:14:54:420, 1, , , , , , , , , , , , 
05-22-2024, 15:14:57:600, , , 0, , , , , , , , , , 
05-22-2024, 15:14:58:486, 0, , , , , , , , , , , , 
05-22-2024, 15:14:59:760, , 1, , , , , , , , , , , 
05-22-2024, 15:15:01:12, 1, , , , , , , , , , , , 
05-22-2024, 15:15:06:519, 0, , , , , , , , , , , , 
05-22-2024, 15:15:07:589, , 0, , , , , , , , , , , 
05-22-2024, 15:15:09:453, , , 1, , , , , , , , , , 
05-22-2024, 15:15:10:934, 1, , , , , , , , , , , , 
05-22-2024, 15:15:13:784, 0, , , , , , , , , , , , 
05-22-2024, 15:15:14:841, , , 0, , , , , , , , , , 
05-22-2024, 15:15:16:61, , 1, , , , , , , , , , , 
05-22-2024, 15:15:18:163, 1, , , , , , , , , , , , 
05-22-2024, 15:15:24:828, 0, , , , , , , , , , , , 
05-22-2024, 15:15:26:414, , 0, , , , , , , , , , , 
