05-21-2024, 16:40:55:892, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-21-2024, 16:41:03:612, 1, , , , , , , , , , , , 
05-21-2024, 16:41:09:104, , 1, , , , , , , , , , , 
05-21-2024, 16:41:13:72, , 0, , , , , , , , , , , 
05-21-2024, 16:41:13:790, , 1, , , , , , , , , , , 
05-21-2024, 16:41:26:844, , 0, , , , , , , , , , , 
05-21-2024, 16:41:27:417, , 1, , , , , , , , , , , 
05-21-2024, 16:41:35:116, 0, , , , , , , , , , , , 
05-21-2024, 16:41:38:400, , 0, , , , , , , , , , , 
05-21-2024, 16:41:39:658, , , 1, , , , , , , , , , 
05-21-2024, 16:41:43:581, 1, , , , , , , , , , , , 
05-21-2024, 16:41:59:887, , 1, , , , , , , , , , , 
05-21-2024, 16:42:08:446, , 0, , , , , , , , , , , 
05-21-2024, 16:42:11:135, 0, , , , , , , , , , , , 
05-21-2024, 16:42:16:45, , , 0, , , , , , , , , , 
05-21-2024, 16:42:26:856, 1, , , , , , , , , , , , 
05-21-2024, 16:42:28:51, 0, , , , , , , , , , , , 
05-21-2024, 16:42:29:180, , 1, , , , , , , , , , , 
05-21-2024, 16:42:29:987, , 0, , , , , , , , , , , 
