05-21-2024, 09:55:28:894, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-21-2024, 09:55:40:754, , , , 1, , , , , , , , , 
05-21-2024, 09:55:42:2, , , , 0, , , , , , , , , 
05-21-2024, 09:55:43:563, , , , 1, , , , , , , , , 
05-21-2024, 09:55:44:606, , , , 0, , , , , , , , , 
05-21-2024, 09:56:50:69, , , , 1, , , , , , , , , 
05-21-2024, 09:56:51:220, , , , 0, , , , , , , , , 
05-21-2024, 09:56:52:710, 1, , , , , , , , , , , , 
05-21-2024, 09:56:53:284, 0, , , , , , , , , , , , 
05-21-2024, 09:57:29:745, , , , 1, , , , , , , , , 
05-21-2024, 09:57:30:582, , , , 0, , , , , , , , , 
