05-20-2024, 11:56:31:378, pmt_on, erpa_on, hk_on, c_sys_on, c_800v_en, c_5v_en, c_n150v_en, c_3v3_en, c_n5v_en, c_15v_en, c_n3v3_en, c_sdn1, c_sdn2
05-20-2024, 11:56:55:803, , , , 1, , , , , , , , , 
05-20-2024, 11:56:57:398, , , , 0, , , , , , , , , 
05-20-2024, 11:57:01:784, , , , 1, , , , , , , , , 
05-20-2024, 11:57:03:100, , , , , , , , 1, , , , , 
05-20-2024, 11:57:04:189, , , , , , 1, , , , , , , 
05-20-2024, 11:57:05:84, , , , , , , , , , , 1, , 
05-20-2024, 11:57:05:902, , , , , , , , , 1, , , , 
05-20-2024, 11:57:07:166, , , , , , , , , , 1, , , 
05-20-2024, 11:57:07:869, , , , , , , 1, , , , , , 
05-20-2024, 11:57:09:169, , , , , 1, , , , , , , , 
05-20-2024, 11:57:36:838, 1, , , , , , , , , , , , 
05-20-2024, 11:57:37:560, 0, , , , , , , , , , , , 
05-20-2024, 11:57:39:92, , 1, , , , , , , , , , , 
05-20-2024, 11:57:39:685, , 0, , , , , , , , , , , 
05-20-2024, 11:57:41:979, , , 1, , , , , , , , , , 
05-20-2024, 11:57:43:98, , , 0, , , , , , , , , , 
05-20-2024, 11:57:46:180, , , , , 0, , , , , , , , 
05-20-2024, 11:57:46:726, , , , , , , 0, , , , , , 
05-20-2024, 11:57:47:327, , , , , , , , , , 0, , , 
05-20-2024, 11:57:47:984, , , , , , , , , 0, , , , 
05-20-2024, 11:57:48:704, , , , , , , , , , , 0, , 
