uptime, sync, seq, step, SWPMON, adc
31996607, 0xAAAA, 0000, 0000, 0.00000, 4.9805447
32000056, 0xAAAA, 0001, 0000, 0.00000, 4.3164721
32003224, 0xAAAA, 0002, 0000, 0.00000, 4.0625620
32006300, 0xAAAA, 0003, 0000, 0.00000, 3.8867781
32009441, 0xAAAA, 0004, 0000, 0.00000, 4.0430304
32012537, 0xAAAA, 0005, 0000, 0.00000, 4.3750668
32015663, 0xAAAA, 0006, 0000, 0.00000, 4.3750668
32018811, 0xAAAA, 0007, 0000, 0.00000, 4.1211566
32021915, 0xAAAA, 0008, 0000, 0.00000, 3.8672465
32025061, 0xAAAA, 0009, 0000, 0.00000, 3.9063096
32028228, 0xAAAA, 0010, 0000, 0.00000, 4.2188144
32031288, 0xAAAA, 0011, 0000, 0.00000, 4.3750668
32034417, 0xAAAA, 0012, 0000, 0.00000, 4.1992828
32037562, 0xAAAA, 0013, 0000, 0.00000, 3.9063096
32040684, 0xAAAA, 0014, 0000, 0.00000, 3.8672465
32043794, 0xAAAA, 0015, 0000, 0.00000, 4.1406882
32046920, 0xAAAA, 0016, 0000, 0.00000, 4.4141299
32050053, 0xAAAA, 0017, 0000, 0.00000, 4.3164721
32053208, 0xAAAA, 0018, 0000, 0.00000, 4.0430304
32056296, 0xAAAA, 0019, 0000, 0.00000, 3.8867781
32059410, 0xAAAA, 0020, 0000, 0.00000, 4.0430304
32062534, 0xAAAA, 0021, 0000, 0.00000, 4.3555352
32065659, 0xAAAA, 0022, 0000, 0.00000, 4.3750668
32068805, 0xAAAA, 0023, 0000, 0.00000, 4.1211566
32071926, 0xAAAA, 0024, 0000, 0.00000, 3.8672465
32075074, 0xAAAA, 0025, 0000, 0.00000, 3.9258412
32078226, 0xAAAA, 0026, 0000, 0.00000, 4.1992828
32081304, 0xAAAA, 0027, 0000, 0.00000, 4.3945983
32084412, 0xAAAA, 0028, 0000, 0.00000, 4.1992828
32087538, 0xAAAA, 0029, 0000, 0.00000, 3.8867781
32090662, 0xAAAA, 0030, 0000, 0.00000, 3.8672465
32093798, 0xAAAA, 0031, 0000, 0.00081, 4.1406882
32096914, 0xAAAA, 0032, 0000, 0.00000, 4.4141299
32100075, 0xAAAA, 0033, 0000, 0.00000, 4.3164721
32103225, 0xAAAA, 0034, 0000, 0.00000, 4.0430304
32106301, 0xAAAA, 0035, 0000, 0.00000, 3.8867781
32109439, 0xAAAA, 0036, 0000, 0.00000, 4.0430304
32112534, 0xAAAA, 0037, 0000, 0.00000, 4.3750668
32115668, 0xAAAA, 0038, 0000, 0.00000, 4.3945983
32118811, 0xAAAA, 0039, 0000, 0.00000, 4.1016251
32121911, 0xAAAA, 0040, 0000, 0.00000, 3.8672465
32125059, 0xAAAA, 0041, 0000, 0.00000, 3.9258412
32128221, 0xAAAA, 0042, 0000, 0.00000, 4.1992828
32131284, 0xAAAA, 0043, 0000, 0.00000, 4.3945983
32134417, 0xAAAA, 0044, 0000, 0.00000, 4.1992828
32137551, 0xAAAA, 0045, 0000, 0.00000, 3.8867781
32140676, 0xAAAA, 0046, 0000, 0.00000, 3.8672465
32143799, 0xAAAA, 0047, 0000, 0.00000, 4.1406882
32146922, 0xAAAA, 0048, 0000, 0.00000, 4.3945983
32150060, 0xAAAA, 0049, 0000, 0.00000, 4.3360037
32153241, 0xAAAA, 0050, 0000, 0.00000, 4.0430304
32156287, 0xAAAA, 0051, 0000, 0.00000, 3.8867781
32159413, 0xAAAA, 0052, 0000, 0.00000, 4.0430304
32162537, 0xAAAA, 0053, 0000, 0.00000, 4.3555352
32165662, 0xAAAA, 0054, 0000, 0.00000, 4.3945983
32168807, 0xAAAA, 0055, 0000, 0.00000, 4.1016251
32171943, 0xAAAA, 0056, 0000, 0.00000, 3.8672465
32175074, 0xAAAA, 0057, 0000, 0.00000, 3.9258412
32178224, 0xAAAA, 0058, 0000, 0.00000, 4.2188144
32181297, 0xAAAA, 0059, 0000, 0.00000, 4.3945983
32184409, 0xAAAA, 0060, 0000, 0.00000, 4.2188144
32187535, 0xAAAA, 0061, 0000, 0.00000, 3.8867781
32190683, 0xAAAA, 0062, 0000, 0.00000, 3.8867781
32193795, 0xAAAA, 0063, 0000, 0.00000, 4.1211566
32196910, 0xAAAA, 0064, 0000, 0.00000, 4.3945983
32200073, 0xAAAA, 0065, 0000, 0.00000, 4.3360037
32203225, 0xAAAA, 0066, 0000, 0.00000, 4.0430304
32206300, 0xAAAA, 0067, 0000, 0.00000, 3.8867781
32209412, 0xAAAA, 0068, 0000, 0.00000, 4.0234989
32212537, 0xAAAA, 0069, 0000, 0.00000, 4.3555352
32215663, 0xAAAA, 0070, 0000, 0.00000, 4.3945983
32218810, 0xAAAA, 0071, 0000, 0.00000, 4.1016251
32221913, 0xAAAA, 0072, 0000, 0.00000, 3.8477150
32225077, 0xAAAA, 0073, 0000, 0.00000, 3.9258412
32228213, 0xAAAA, 0074, 0000, 0.00000, 4.1992828
32231287, 0xAAAA, 0075, 0000, 0.00000, 4.3945983
32234418, 0xAAAA, 0076, 0000, 0.00000, 4.1992828
32237551, 0xAAAA, 0077, 0000, 0.00000, 3.8867781
32240659, 0xAAAA, 0078, 0000, 0.00000, 3.8867781
32243827, 0xAAAA, 0079, 0000, 0.00000, 4.1406882
32246910, 0xAAAA, 0080, 0000, 0.00000, 4.3945983
32250052, 0xAAAA, 0081, 0000, 0.00000, 4.3360037
32253237, 0xAAAA, 0082, 0000, 0.00000, 4.0430304
32256284, 0xAAAA, 0083, 0000, 0.00000, 3.8672465
32259409, 0xAAAA, 0084, 0000, 0.00000, 4.0430304
32262550, 0xAAAA, 0085, 0000, 0.00000, 4.3555352
32265659, 0xAAAA, 0086, 0000, 0.00000, 4.3945983
32268807, 0xAAAA, 0087, 0000, 0.00081, 4.1016251
32271937, 0xAAAA, 0088, 0000, 0.00000, 3.8477150
32275074, 0xAAAA, 0089, 0000, 0.00081, 3.9258412
32278225, 0xAAAA, 0090, 0000, 0.00000, 4.1992828
32281301, 0xAAAA, 0091, 0000, 0.00000, 4.3945983
32284412, 0xAAAA, 0092, 0000, 0.00000, 4.2188144
32287539, 0xAAAA, 0093, 0000, 0.00000, 3.8867781
32290676, 0xAAAA, 0094, 0000, 0.00000, 3.8867781
32293799, 0xAAAA, 0095, 0000, 0.00081, 4.1406882
32296914, 0xAAAA, 0096, 0000, 0.00000, 4.3945983
32300059, 0xAAAA, 0097, 0000, 0.00000, 4.3360037
32303225, 0xAAAA, 0098, 0000, 0.00000, 4.0430304
32306284, 0xAAAA, 0099, 0000, 0.00000, 3.8672465
32309409, 0xAAAA, 0100, 0000, 0.00000, 4.0430304
32312534, 0xAAAA, 0101, 0000, 0.00000, 4.3555352
32315683, 0xAAAA, 0102, 0000, 0.00000, 4.3945983
32318795, 0xAAAA, 0103, 0000, 0.00000, 4.1016251
32321910, 0xAAAA, 0104, 0000, 0.00000, 3.8477150
32325054, 0xAAAA, 0105, 0000, 0.00000, 3.9258412
32328209, 0xAAAA, 0106, 0000, 0.00000, 4.1992828
32331284, 0xAAAA, 0107, 0000, 0.00000, 4.3750668
32334434, 0xAAAA, 0108, 0000, 0.00000, 4.2188144
32337551, 0xAAAA, 0109, 0000, 0.00000, 3.8867781
32340662, 0xAAAA, 0110, 0000, 0.00000, 3.8672465
32343824, 0xAAAA, 0111, 0000, 0.00000, 4.1406882
32346913, 0xAAAA, 0112, 0000, 0.00000, 4.3945983
32350060, 0xAAAA, 0113, 0000, 0.00000, 4.3360037
32353238, 0xAAAA, 0114, 0000, 0.00000, 4.0430304
32356288, 0xAAAA, 0115, 0000, 0.00000, 3.8477150
32359412, 0xAAAA, 0116, 0000, 0.00000, 4.0430304
32362549, 0xAAAA, 0117, 0000, 0.00000, 4.3555352
32365662, 0xAAAA, 0118, 0000, 0.00000, 4.3750668
32368808, 0xAAAA, 0119, 0000, 0.00000, 4.1211566
32371926, 0xAAAA, 0120, 0000, 0.00000, 3.8477150
32375074, 0xAAAA, 0121, 0000, 0.00000, 3.9258412
32378224, 0xAAAA, 0122, 0000, 0.00000, 4.1992828
32381295, 0xAAAA, 0123, 0000, 0.00000, 4.3750668
32384410, 0xAAAA, 0124, 0000, 0.00000, 4.2188144
32387535, 0xAAAA, 0125, 0000, 0.00000, 3.8867781
32390667, 0xAAAA, 0126, 0000, 0.00000, 3.8672465
32393795, 0xAAAA, 0127, 0000, 0.00000, 4.1406882
32396910, 0xAAAA, 0128, 0000, 0.00000, 4.3750668
32400059, 0xAAAA, 0129, 0000, 0.00000, 4.3555352
32403224, 0xAAAA, 0130, 0000, 0.00000, 4.0430304
32406315, 0xAAAA, 0131, 0000, 0.00000, 3.8672465
32409412, 0xAAAA, 0132, 0000, 0.00000, 4.0430304
32412537, 0xAAAA, 0133, 0000, 0.00000, 4.3555352
32415683, 0xAAAA, 0134, 0000, 0.00000, 4.3750668
32418800, 0xAAAA, 0135, 0000, 0.00000, 4.1211566
32421913, 0xAAAA, 0136, 0000, 0.00000, 3.8477150
32425074, 0xAAAA, 0137, 0000, 0.00000, 3.9258412
32428212, 0xAAAA, 0138, 0000, 0.00000, 4.2188144
32431288, 0xAAAA, 0139, 0000, 0.00000, 4.3750668
32434432, 0xAAAA, 0140, 0000, 0.00000, 4.2383459
32437551, 0xAAAA, 0141, 0000, 0.00000, 3.8867781
32440684, 0xAAAA, 0142, 0000, 0.00000, 3.8672465
32443795, 0xAAAA, 0143, 0000, 0.00000, 4.1406882
32446910, 0xAAAA, 0144, 0000, 0.00000, 4.3945983
32450053, 0xAAAA, 0145, 0000, 0.00000, 4.3360037
32453237, 0xAAAA, 0146, 0000, 0.00000, 4.0430304
32456284, 0xAAAA, 0147, 0000, 0.00000, 3.8477150
32459410, 0xAAAA, 0148, 0000, 0.00000, 4.0234989
32462534, 0xAAAA, 0149, 0000, 0.00000, 4.3555352
32465660, 0xAAAA, 0150, 0000, 0.00000, 4.3750668
32468808, 0xAAAA, 0151, 0000, 0.00000, 4.1211566
32471926, 0xAAAA, 0152, 0000, 0.00000, 3.8477150
32475075, 0xAAAA, 0153, 0000, 0.00000, 3.9063096
32478241, 0xAAAA, 0154, 0000, 0.00000, 4.2188144
32481288, 0xAAAA, 0155, 0000, 0.00000, 4.3750668
32484412, 0xAAAA, 0156, 0000, 0.00000, 4.2383459
32487538, 0xAAAA, 0157, 0000, 0.00000, 3.9063096
32490671, 0xAAAA, 0158, 0000, 0.00000, 3.8672465
32493798, 0xAAAA, 0159, 0000, 0.00000, 4.1406882
32496929, 0xAAAA, 0160, 0000, 0.00000, 4.3945983
32500061, 0xAAAA, 0161, 0000, 0.00000, 4.3360037
32503224, 0xAAAA, 0162, 0000, 0.00000, 4.0625620
32506313, 0xAAAA, 0163, 0000, 0.00000, 3.8477150
32509409, 0xAAAA, 0164, 0000, 0.00000, 4.0234989
32512534, 0xAAAA, 0165, 0000, 0.00000, 4.3555352
32515674, 0xAAAA, 0166, 0000, 0.00000, 4.3750668
32518796, 0xAAAA, 0167, 0000, 0.00000, 4.1406882
32521909, 0xAAAA, 0168, 0000, 0.00000, 3.8477150
32525070, 0xAAAA, 0169, 0000, 0.00000, 3.9063096
32528208, 0xAAAA, 0170, 0000, 0.00000, 4.2188144
32531284, 0xAAAA, 0171, 0000, 0.00000, 4.3750668
32534419, 0xAAAA, 0172, 0000, 0.00000, 4.2188144
