uptime, sync, seq, step, SWPMON, adc
10093183, 0xAAAA, 0000, 0000, 0.00000, 4.9805447
10096672, 0xAAAA, 0001, 0000, 0.01128, 0.0000000
10099805, 0xAAAA, 0002, 0000, 0.01209, 0.0000000
10102913, 0xAAAA, 0003, 0001, 0.01128, 0.0000000
10106077, 0xAAAA, 0004, 0001, 0.01128, 0.0000000
10109225, 0xAAAA, 0005, 0002, 0.32154, 0.0000000
10112305, 0xAAAA, 0006, 0002, 0.39487, 0.0000000
10115414, 0xAAAA, 0007, 0003, 0.78813, 0.0000000
10118539, 0xAAAA, 0008, 0003, 1.21524, 0.0000000
10121664, 0xAAAA, 0009, 0004, 1.18220, 0.0000000
10124788, 0xAAAA, 0010, 0004, 1.18139, 0.0000000
10127914, 0xAAAA, 0011, 0005, 1.58593, 0.0000000
10131086, 0xAAAA, 0012, 0005, 1.57546, 0.0000000
10134254, 0xAAAA, 0013, 0006, 1.97033, 0.0000000
10137292, 0xAAAA, 0014, 0006, 2.35231, 0.0000000
10140452, 0xAAAA, 0015, 0007, 2.36440, 0.0000000
10143543, 0xAAAA, 0016, 0007, 2.36278, 0.0000000
10146668, 0xAAAA, 0017, 0007, 2.54813, 0.0000000
10149808, 0xAAAA, 0018, 0007, 2.54974, 0.0000000
10152918, 0xAAAA, 0019, 0006, 2.54894, 0.0000000
10156060, 0xAAAA, 0020, 0006, 2.36440, 0.0000000
10159236, 0xAAAA, 0021, 0005, 2.40227, 0.0000000
10162293, 0xAAAA, 0022, 0005, 2.37245, 0.0000000
10165429, 0xAAAA, 0023, 0004, 1.96952, 0.0000000
10168539, 0xAAAA, 0024, 0004, 1.57626, 0.0000000
10171663, 0xAAAA, 0025, 0003, 1.55370, 0.0000000
10174787, 0xAAAA, 0026, 0003, 1.17978, 0.0000000
10177924, 0xAAAA, 0027, 0002, 1.18139, 0.0000000
10181060, 0xAAAA, 0028, 0002, 1.17897, 0.0000000
10184266, 0xAAAA, 0029, 0001, 0.78733, 0.0000000
10187289, 0xAAAA, 0030, 0001, 0.39165, 0.0000000
10190397, 0xAAAA, 0031, 0000, 0.40857, 0.0000000
10193539, 0xAAAA, 0032, 0000, 0.39084, 0.0000000
10196671, 0xAAAA, 0033, 0000, 0.01128, 0.0000000
10199804, 0xAAAA, 0034, 0000, 0.01128, 0.0000000
10202945, 0xAAAA, 0035, 0001, 0.01209, 0.0000000
10206077, 0xAAAA, 0036, 0001, 0.38117, 0.0000000
10209227, 0xAAAA, 0037, 0002, 0.39165, 0.0000000
10212304, 0xAAAA, 0038, 0002, 0.39084, 0.0000000
10215419, 0xAAAA, 0039, 0003, 0.78652, 0.0000000
10218543, 0xAAAA, 0040, 0003, 0.78974, 0.0000000
10221684, 0xAAAA, 0041, 0004, 1.18220, 0.0000000
10224791, 0xAAAA, 0042, 0004, 1.57465, 0.0000000
10227918, 0xAAAA, 0043, 0005, 1.57707, 0.0000000
10231084, 0xAAAA, 0044, 0005, 1.52308, 0.0000000
10234254, 0xAAAA, 0045, 0006, 1.97436, 0.0000000
10237288, 0xAAAA, 0046, 0006, 1.97033, 0.0000000
10240438, 0xAAAA, 0047, 0007, 2.36520, 0.0000000
10243540, 0xAAAA, 0048, 0007, 2.54894, 0.0000000
10246664, 0xAAAA, 0049, 0007, 2.54974, 0.0000000
10249801, 0xAAAA, 0050, 0007, 2.58037, 0.0000000
10252914, 0xAAAA, 0051, 0006, 2.55538, 0.0000000
10256056, 0xAAAA, 0052, 0006, 2.54894, 0.0000000
10259226, 0xAAAA, 0053, 0005, 2.36520, 0.0000000
10262294, 0xAAAA, 0054, 0005, 1.97033, 0.0000000
10265429, 0xAAAA, 0055, 0004, 1.97194, 0.0000000
10268543, 0xAAAA, 0056, 0004, 1.94857, 0.0000000
10271667, 0xAAAA, 0057, 0003, 1.57546, 0.0000000
10274807, 0xAAAA, 0058, 0003, 1.57707, 0.0000000
10277919, 0xAAAA, 0059, 0002, 1.18139, 0.0000000
10281064, 0xAAAA, 0060, 0002, 0.78733, 0.0000000
10284261, 0xAAAA, 0061, 0001, 0.78249, 0.0000000
10287294, 0xAAAA, 0062, 0001, 0.78733, 0.0000000
10290392, 0xAAAA, 0063, 0000, 0.39165, 0.0000000
10293558, 0xAAAA, 0064, 0000, 0.39084, 0.0000000
10296672, 0xAAAA, 0065, 0000, 0.01209, 0.0000000
10299805, 0xAAAA, 0066, 0000, 0.01209, 0.0000000
10302942, 0xAAAA, 0067, 0001, 0.01209, 0.0000000
10306059, 0xAAAA, 0068, 0001, 0.01128, 0.0000000
10309226, 0xAAAA, 0069, 0002, 0.34088, 0.0000000
10312302, 0xAAAA, 0070, 0002, 0.78733, 0.0000000
10315414, 0xAAAA, 0071, 0003, 0.78652, 0.0000000
10318540, 0xAAAA, 0072, 0003, 1.18059, 0.0000000
10321675, 0xAAAA, 0073, 0004, 1.18462, 0.0000000
10324788, 0xAAAA, 0074, 0004, 1.18139, 0.0000000
10327914, 0xAAAA, 0075, 0005, 1.62300, 0.0000000
10331072, 0xAAAA, 0076, 0005, 1.97114, 0.0000000
10334253, 0xAAAA, 0077, 0006, 1.97033, 0.0000000
10337292, 0xAAAA, 0078, 0006, 2.32652, 0.0000000
10340438, 0xAAAA, 0079, 0007, 2.37971, 0.0000000
10343543, 0xAAAA, 0080, 0007, 2.36601, 0.0000000
10346685, 0xAAAA, 0081, 0007, 2.55055, 0.0000000
10349792, 0xAAAA, 0082, 0007, 2.55055, 0.0000000
10352918, 0xAAAA, 0083, 0006, 2.54974, 0.0000000
10356060, 0xAAAA, 0084, 0006, 2.54894, 0.0000000
10359227, 0xAAAA, 0085, 0005, 2.36520, 0.0000000
10362296, 0xAAAA, 0086, 0005, 2.38132, 0.0000000
10365445, 0xAAAA, 0087, 0004, 1.96711, 0.0000000
10368539, 0xAAAA, 0088, 0004, 1.57626, 0.0000000
10371663, 0xAAAA, 0089, 0003, 1.57626, 0.0000000
10374798, 0xAAAA, 0090, 0003, 1.58029, 0.0000000
10377914, 0xAAAA, 0091, 0002, 1.18059, 0.0000000
10381060, 0xAAAA, 0092, 0002, 1.18300, 0.0000000
10384269, 0xAAAA, 0093, 0001, 0.78733, 0.0000000
10387288, 0xAAAA, 0094, 0001, 0.39165, 0.0000000
10390390, 0xAAAA, 0095, 0000, 0.43839, 0.0000000
10393551, 0xAAAA, 0096, 0000, 0.39084, 0.0000000
10396671, 0xAAAA, 0097, 0000, 0.01128, 0.0000000
10399805, 0xAAAA, 0098, 0000, 0.01128, 0.0000000
10402916, 0xAAAA, 0099, 0001, 0.01209, 0.0000000
10406076, 0xAAAA, 0100, 0001, 0.43114, 0.0000000
10409225, 0xAAAA, 0101, 0002, 0.39165, 0.0000000
10412303, 0xAAAA, 0102, 0002, 0.38762, 0.0000000
10415417, 0xAAAA, 0103, 0003, 0.78652, 0.0000000
10418543, 0xAAAA, 0104, 0003, 0.79297, 0.0000000
