uptime, sync, seq, step, SWPMON, adc
292327870, 0xAAAA, 0000, 0000, 0.00000, 0.0000000
292330679, 0xAAAA, 0001, 0000, 0.00000, 0.0000000
292333804, 0xAAAA, 0002, 0000, 0.00000, 0.0000000
292336929, 0xAAAA, 0003, 0001, 0.00000, 0.0000000
292340086, 0xAAAA, 0004, 0001, 0.00000, 0.0000000
292343228, 0xAAAA, 0005, 0002, 0.00000, 0.0000000
292346318, 0xAAAA, 0006, 0002, 0.00000, 0.0000000
292349391, 0xAAAA, 0007, 0003, 0.00000, 0.0000000
292352566, 0xAAAA, 0008, 0003, 0.00081, 0.0000000
292355703, 0xAAAA, 0009, 0004, 0.00000, 0.0000000
292358800, 0xAAAA, 0010, 0004, 0.00000, 0.0000000
292361925, 0xAAAA, 0011, 0005, 0.00000, 0.0000000
292365160, 0xAAAA, 0012, 0005, 0.00000, 0.0000000
292368224, 0xAAAA, 0013, 0006, 0.00000, 0.0000000
292371301, 0xAAAA, 0014, 0006, 0.00000, 0.0000000
292374437, 0xAAAA, 0015, 0007, 0.00000, 0.0000000
292378202, 0xAAAA, 0016, 0007, 0.00000, 0.0000000
292380675, 0xAAAA, 0017, 0007, 0.00000, 0.0000000
292383808, 0xAAAA, 0018, 0007, 0.00000, 0.0000000
292386941, 0xAAAA, 0019, 0006, 0.00000, 0.0000000
292390186, 0xAAAA, 0020, 0006, 0.00000, 0.0000000
292393240, 0xAAAA, 0021, 0005, 0.00000, 0.0000000
292396304, 0xAAAA, 0022, 0005, 0.00000, 0.0000000
292399465, 0xAAAA, 0023, 0004, 0.00000, 0.0000000
292402554, 0xAAAA, 0024, 0004, 0.00000, 0.0000000
292405678, 0xAAAA, 0025, 0003, 0.00000, 0.0000000
292408806, 0xAAAA, 0026, 0003, 0.00000, 0.0000000
292411929, 0xAAAA, 0027, 0002, 0.00000, 0.0000000
292415087, 0xAAAA, 0028, 0002, 0.00000, 0.0000000
292418284, 0xAAAA, 0029, 0001, 0.00000, 0.0000000
292421300, 0xAAAA, 0030, 0001, 0.00000, 0.0000000
292424425, 0xAAAA, 0031, 0000, 0.00000, 0.0000000
292428171, 0xAAAA, 0032, 0000, 0.00000, 0.0000000
292430676, 0xAAAA, 0033, 0000, 0.00000, 0.0000000
292433801, 0xAAAA, 0034, 0000, 0.00000, 0.0000000
292436940, 0xAAAA, 0035, 0001, 0.00000, 0.0000000
292440083, 0xAAAA, 0036, 0001, 0.00000, 0.0000000
292443220, 0xAAAA, 0037, 0002, 0.00000, 0.0000000
292446311, 0xAAAA, 0038, 0002, 0.00000, 0.0000000
292449401, 0xAAAA, 0039, 0003, 0.00000, 0.0000000
292452567, 0xAAAA, 0040, 0003, 0.00000, 0.0000000
292455678, 0xAAAA, 0041, 0004, 0.00000, 0.0000000
292458805, 0xAAAA, 0042, 0004, 0.00000, 0.0000000
292461928, 0xAAAA, 0043, 0005, 0.00000, 0.0000000
292465157, 0xAAAA, 0044, 0005, 0.00000, 0.0000000
292468218, 0xAAAA, 0045, 0006, 0.00000, 0.0000000
292471304, 0xAAAA, 0046, 0006, 0.00000, 0.0000000
292474429, 0xAAAA, 0047, 0007, 0.00000, 0.0000000
292478157, 0xAAAA, 0048, 0007, 0.00000, 0.0000000
292480679, 0xAAAA, 0049, 0007, 0.00000, 0.0000000
292483810, 0xAAAA, 0050, 0007, 0.00000, 0.0000000
292486924, 0xAAAA, 0051, 0006, 0.00000, 0.0000000
292490117, 0xAAAA, 0052, 0006, 0.00000, 0.0000000
292493220, 0xAAAA, 0053, 0005, 0.00000, 0.0000000
292496300, 0xAAAA, 0054, 0005, 0.00000, 0.0000000
292499455, 0xAAAA, 0055, 0004, 0.00000, 0.0000000
292502550, 0xAAAA, 0056, 0004, 0.00000, 0.0000000
