sync, uptime, seq, step, SWPMON, adc
0xEEEE, 218241234, 69837, 0006, 1.97516, 4.8487068
0xEEEE, 218244358, 69838, 0007, 2.38615, 4.8638132
0xEEEE, 218247474, 69839, 0007, 2.36923, 4.8542763
0xEEEE, 218250600, 69840, 0007, 2.55216, 4.8492409
0xEEEE, 218253724, 69841, 0007, 2.55297, 4.8599985
0xEEEE, 218256857, 69842, 0006, 2.55297, 4.8534371
0xEEEE, 218259997, 69843, 0006, 2.49495, 4.8643473
0xEEEE, 218263221, 69844, 0005, 2.36842, 4.8577096
0xEEEE, 218266224, 69845, 0005, 2.37245, 4.8547341
0xEEEE, 218269355, 69846, 0004, 1.97597, 4.8568704
0xEEEE, 218272485, 69847, 0004, 1.97436, 4.8477150
0xEEEE, 218275610, 69848, 0003, 1.57788, 4.8661784
0xEEEE, 218278735, 69849, 0003, 1.58029, 4.8564889
0xEEEE, 218281877, 69850, 0002, 1.19187, 4.8538186
0xEEEE, 218284986, 69851, 0002, 1.18945, 4.8517586
0xEEEE, 218288132, 69852, 0001, 0.79377, 4.8493935
0xEEEE, 218291224, 69853, 0001, 0.78894, 4.8646525
0xEEEE, 218294357, 69854, 0000, 0.39165, 4.8553445
0xEEEE, 218297474, 69855, 0000, 0.01128, 4.8612955
0xEEEE, 218300599, 69856, 0000, 0.01209, 4.8563363
0xEEEE, 218303724, 69857, 0000, 0.01209, 4.8459602
0xEEEE, 218306857, 69858, 0001, 0.01209, 4.8628977
0xEEEE, 218309975, 69859, 0001, 0.01128, 4.8574044
0xEEEE, 218313145, 69860, 0002, 0.39165, 4.8588540
0xEEEE, 218316233, 69861, 0002, 0.39326, 4.8577096
0xEEEE, 218319358, 69862, 0003, 0.78894, 4.8482490
0xEEEE, 218322483, 69863, 0003, 1.18462, 4.8643473
0xEEEE, 218325608, 69864, 0004, 1.18462, 4.8507668
0xEEEE, 218328734, 69865, 0004, 1.18462, 4.8661021
0xEEEE, 218331866, 69866, 0005, 1.57788, 4.8628214
0xEEEE, 218334975, 69867, 0005, 1.58110, 4.8592355
0xEEEE, 218338129, 69868, 0006, 1.99531, 4.8561837
0xEEEE, 218341235, 69869, 0006, 1.97436, 4.8525978
0xEEEE, 218344349, 69870, 0007, 2.36842, 4.8639658
0xEEEE, 218347474, 69871, 0007, 2.60696, 4.8546578
0xEEEE, 218350599, 69872, 0007, 2.55216, 4.8594644
0xEEEE, 218353724, 69873, 0007, 2.56264, 4.8580148
0xEEEE, 218356857, 69874, 0006, 2.55216, 4.8420691
0xEEEE, 218360020, 69875, 0006, 2.55216, 4.8696117
0xEEEE, 218363230, 69876, 0005, 2.36923, 4.8522164
0xEEEE, 218366243, 69877, 0005, 2.36923, 4.8586252
0xEEEE, 218369360, 69878, 0004, 1.96469, 4.8513771
0xEEEE, 218372486, 69879, 0004, 1.57949, 4.8503853
0xEEEE, 218375611, 69880, 0003, 1.58029, 4.8646525
0xEEEE, 218378744, 69881, 0003, 1.58029, 4.8586252
0xEEEE, 218381857, 69882, 0002, 1.18300, 4.8625925
0xEEEE, 218384975, 69883, 0002, 1.18300, 4.8545815
0xEEEE, 218388120, 69884, 0001, 0.78894, 4.8511482
0xEEEE, 218391224, 69885, 0001, 0.78894, 4.8545815
0xEEEE, 218394349, 69886, 0000, 0.39407, 4.8500038
0xEEEE, 218397474, 69887, 0000, 0.01128, 4.8663310
0xEEEE, 218400599, 69888, 0000, 0.01128, 4.8479438
0xEEEE, 218403733, 69889, 0000, 0.01209, 4.8543526
0xEEEE, 218406865, 69890, 0001, 0.01128, 4.8601511
0xEEEE, 218409983, 69891, 0001, 0.01209, 4.8501564
0xEEEE, 218413129, 69892, 0002, 0.39245, 4.8599985
0xEEEE, 218416233, 69893, 0002, 0.39165, 4.8501564
0xEEEE, 218419358, 69894, 0003, 0.78974, 4.8574044
0xEEEE, 218422483, 69895, 0003, 1.08952, 4.8532082
0xEEEE, 218425619, 69896, 0004, 1.18220, 4.8480964
0xEEEE, 218428724, 69897, 0004, 1.18381, 4.8621347
0xEEEE, 218431857, 69898, 0005, 1.57949, 4.8542000
0xEEEE, 218434975, 69899, 0005, 1.57788, 4.8577096
0xEEEE, 218438145, 69900, 0006, 1.97839, 4.8522927
0xEEEE, 218441224, 69901, 0006, 1.95905, 4.8552682
0xEEEE, 218444349, 69902, 0007, 2.36762, 4.8666361
0xEEEE, 218447482, 69903, 0007, 2.37407, 4.8554208
0xEEEE, 218450610, 69904, 0007, 2.55216, 4.8609140
0xEEEE, 218453735, 69905, 0007, 2.55136, 4.8475624
0xEEEE, 218456867, 69906, 0006, 2.55216, 4.8583200
0xEEEE, 218460020, 69907, 0006, 2.55377, 4.8611429
0xEEEE, 218463230, 69908, 0005, 2.34425, 4.8606851
0xEEEE, 218466235, 69909, 0005, 1.97436, 4.8627451
0xEEEE, 218469349, 69910, 0004, 1.97355, 4.8514534
0xEEEE, 218472474, 69911, 0004, 1.99692, 4.8585489
0xEEEE, 218475599, 69912, 0003, 1.57788, 4.8571756
0xEEEE, 218478724, 69913, 0003, 1.57788, 4.8505379
0xEEEE, 218481857, 69914, 0002, 1.18381, 4.8556497
0xEEEE, 218484975, 69915, 0002, 1.18220, 4.8423743
0xEEEE, 218488129, 69916, 0001, 0.78813, 4.8604562
0xEEEE, 218491229, 69917, 0001, 0.39245, 4.8538949
0xEEEE, 218494357, 69918, 0000, 0.39326, 4.8570230
0xEEEE, 218497483, 69919, 0000, 0.36022, 4.8606088
0xEEEE, 218500609, 69920, 0000, 0.01209, 4.8448157
0xEEEE, 218503732, 69921, 0000, 0.01128, 4.8595407
0xEEEE, 218506865, 69922, 0001, 0.01128, 4.8591592
0xEEEE, 218509994, 69923, 0001, 0.01128, 4.8566415
0xEEEE, 218513129, 69924, 0002, 0.32960, 4.8606851
0xEEEE, 218516224, 69925, 0002, 0.79297, 4.8536660
0xEEEE, 218519349, 69926, 0003, 0.79297, 4.8596170
0xEEEE, 218522474, 69927, 0003, 0.79377, 4.8510719
0xEEEE, 218525599, 69928, 0004, 1.18703, 4.8530556
0xEEEE, 218528724, 69929, 0004, 1.18300, 4.8572519
0xEEEE, 218531857, 69930, 0005, 1.58029, 4.8464942
0xEEEE, 218534979, 69931, 0005, 1.57868, 4.8630503
0xEEEE, 218538131, 69932, 0006, 1.97355, 4.8457313
0xEEEE, 218541235, 69933, 0006, 2.36440, 4.8609140
0xEEEE, 218544360, 69934, 0007, 2.33377, 4.8627451
0xEEEE, 218547493, 69935, 0007, 2.36923, 4.8503090
0xEEEE, 218550611, 69936, 0007, 2.48044, 4.8603037
0xEEEE, 218553735, 69937, 0007, 2.55216, 4.8492409
0xEEEE, 218556868, 69938, 0006, 2.54813, 4.8632792
0xEEEE, 218560020, 69939, 0006, 2.55216, 4.8564889
0xEEEE, 218563236, 69940, 0005, 2.36762, 4.8550393
0xEEEE, 218566224, 69941, 0005, 1.97516, 4.8592355
0xEEEE, 218569349, 69942, 0004, 1.97597, 4.8536660
0xEEEE, 218572474, 69943, 0004, 1.97436, 4.8628214
0xEEEE, 218575599, 69944, 0003, 1.58110, 4.8584726
