uptime, sync, seq, step, SWPMON, adc
002576, 0xAAAA, 0000, 0000, 0.01128, 0.0000000
005702, 0xAAAA, 0001, 0000, 0.01128, 5.0000000
008827, 0xAAAA, 0002, 0001, 0.01209, 4.7324331
011961, 0xAAAA, 0003, 0001, 0.01128, 4.5523003
015090, 0xAAAA, 0004, 0002, 0.39004, 4.6231785
018211, 0xAAAA, 0005, 0002, 0.39084, 4.9934386
021336, 0xAAAA, 0006, 0003, 0.80183, 5.0000000
024472, 0xAAAA, 0007, 0003, 0.78733, 4.8440528
027585, 0xAAAA, 0008, 0004, 1.18059, 4.5862516
030702, 0xAAAA, 0009, 0004, 1.57546, 4.5432212
033827, 0xAAAA, 0010, 0005, 1.57465, 4.8576333
036960, 0xAAAA, 0011, 0005, 1.57465, 5.0000000
040082, 0xAAAA, 0012, 0006, 1.96791, 4.9674220
043202, 0xAAAA, 0013, 0006, 1.97275, 4.6391241
046327, 0xAAAA, 0014, 0007, 2.39582, 4.5604639
049452, 0xAAAA, 0015, 0007, 2.36278, 4.7715724
052576, 0xAAAA, 0016, 0007, 2.55538, 5.0000000
055713, 0xAAAA, 0017, 0007, 2.54733, 5.0000000
058838, 0xAAAA, 0018, 0006, 2.54974, 4.7964446
061967, 0xAAAA, 0019, 0006, 2.53846, 4.5831235
065093, 0xAAAA, 0020, 0005, 2.36359, 4.6860456
068213, 0xAAAA, 0021, 0005, 2.36117, 5.0000000
071338, 0xAAAA, 0022, 0004, 1.96711, 5.0000000
074463, 0xAAAA, 0023, 0004, 1.96952, 4.8515297
077577, 0xAAAA, 0024, 0003, 1.57546, 4.6282139
080702, 0xAAAA, 0025, 0003, 1.18462, 4.5737392
083827, 0xAAAA, 0026, 0002, 1.17897, 4.8948653
086952, 0xAAAA, 0027, 0002, 1.18139, 5.0000000
090082, 0xAAAA, 0028, 0001, 0.78652, 4.9882506
093202, 0xAAAA, 0029, 0001, 0.78652, 4.6506447
096327, 0xAAAA, 0030, 0000, 0.39165, 4.5851072
099460, 0xAAAA, 0031, 0000, 0.39245, 4.7975128
102586, 0xAAAA, 0032, 0000, 0.01128, 5.0000000
105710, 0xAAAA, 0033, 0000, 0.01128, 5.0000000
108846, 0xAAAA, 0034, 0001, 0.01128, 4.8006409
111960, 0xAAAA, 0035, 0001, 0.01128, 4.6018921
115091, 0xAAAA, 0036, 0002, 0.39084, 4.7021439
118210, 0xAAAA, 0037, 0002, 0.38923, 5.0000000
121335, 0xAAAA, 0038, 0003, 0.78652, 5.0000000
124452, 0xAAAA, 0039, 0003, 1.17414, 4.8713664
127577, 0xAAAA, 0040, 0004, 1.17978, 4.6270695
130702, 0xAAAA, 0041, 0004, 1.18139, 4.5911345
133826, 0xAAAA, 0042, 0005, 1.57626, 4.8821241
136951, 0xAAAA, 0043, 0005, 1.57626, 5.0000000
140082, 0xAAAA, 0044, 0006, 1.97033, 4.9804685
143211, 0xAAAA, 0045, 0006, 1.96872, 4.6694896
146338, 0xAAAA, 0046, 0007, 2.36278, 4.5813687
149463, 0xAAAA, 0047, 0007, 2.54571, 4.8158999
152588, 0xAAAA, 0048, 0007, 2.54652, 5.0000000
155713, 0xAAAA, 0049, 0007, 2.54733, 5.0000000
158838, 0xAAAA, 0050, 0006, 2.50864, 4.7971313
161963, 0xAAAA, 0051, 0006, 2.54652, 4.6179141
165082, 0xAAAA, 0052, 0005, 2.36198, 4.6698711
168212, 0xAAAA, 0053, 0005, 2.40952, 5.0000000
171327, 0xAAAA, 0054, 0004, 1.96872, 5.0000000
174451, 0xAAAA, 0055, 0004, 1.57546, 4.8874647
177577, 0xAAAA, 0056, 0003, 1.57465, 4.6195926
180702, 0xAAAA, 0057, 0003, 1.57465, 4.6069276
183826, 0xAAAA, 0058, 0002, 1.14271, 4.8799878
186955, 0xAAAA, 0059, 0002, 1.18300, 5.0000000
190091, 0xAAAA, 0060, 0001, 0.78652, 4.9801633
193215, 0xAAAA, 0061, 0001, 0.79861, 4.6743725
196336, 0xAAAA, 0062, 0000, 0.39165, 4.5750362
199461, 0xAAAA, 0063, 0000, 0.01209, 4.8118563
202586, 0xAAAA, 0064, 0000, 0.01209, 5.0000000
205719, 0xAAAA, 0065, 0000, 0.01289, 5.0000000
208827, 0xAAAA, 0066, 0001, 0.01128, 4.8027008
211952, 0xAAAA, 0067, 0001, 0.01128, 4.6093690
215082, 0xAAAA, 0068, 0002, 0.39407, 4.6955825
218202, 0xAAAA, 0069, 0002, 0.42147, 5.0000000
221327, 0xAAAA, 0070, 0003, 0.78733, 5.0000000
224452, 0xAAAA, 0071, 0003, 1.17978, 4.8740368
227576, 0xAAAA, 0072, 0004, 1.18059, 4.6284428
230704, 0xAAAA, 0073, 0004, 1.18220, 4.5842679
233838, 0xAAAA, 0074, 0005, 1.57465, 4.8960861
236963, 0xAAAA, 0075, 0005, 1.55048, 5.0000000
240094, 0xAAAA, 0076, 0006, 1.92842, 4.9998474
243213, 0xAAAA, 0077, 0006, 1.96952, 4.6491188
246338, 0xAAAA, 0078, 0007, 2.36117, 4.5936522
249463, 0xAAAA, 0079, 0007, 2.36037, 4.7930877
252599, 0xAAAA, 0080, 0007, 2.54733, 5.0000000
255702, 0xAAAA, 0081, 0007, 2.54652, 5.0000000
258826, 0xAAAA, 0082, 0006, 2.54410, 4.8186465
261952, 0xAAAA, 0083, 0006, 2.54813, 4.5944915
265082, 0xAAAA, 0084, 0005, 2.36359, 4.6990158
268202, 0xAAAA, 0085, 0005, 2.36278, 5.0000000
271327, 0xAAAA, 0086, 0004, 1.96952, 5.0000000
274452, 0xAAAA, 0087, 0004, 1.96952, 4.8666361
277585, 0xAAAA, 0088, 0003, 1.55289, 4.6374456
280710, 0xAAAA, 0089, 0003, 1.59238, 4.5874723
283835, 0xAAAA, 0090, 0002, 1.18139, 4.9004349
286961, 0xAAAA, 0091, 0002, 1.18059, 5.0000000
290099, 0xAAAA, 0092, 0001, 0.79780, 4.9904631
293210, 0xAAAA, 0093, 0001, 0.39084, 4.6662852
296335, 0xAAAA, 0094, 0000, 0.38762, 4.5941100
299452, 0xAAAA, 0095, 0000, 0.39084, 4.8093385
302577, 0xAAAA, 0096, 0000, 0.01128, 5.0000000
305702, 0xAAAA, 0097, 0000, 0.01128, 5.0000000
308826, 0xAAAA, 0098, 0001, 0.01128, 4.8038453
311952, 0xAAAA, 0099, 0001, 0.01209, 4.6094453
315083, 0xAAAA, 0100, 0002, 0.42308, 4.6959640
318206, 0xAAAA, 0101, 0002, 0.78813, 5.0000000
321338, 0xAAAA, 0102, 0003, 0.75993, 5.0000000
324463, 0xAAAA, 0103, 0003, 0.78894, 4.8825818
327588, 0xAAAA, 0104, 0004, 1.17978, 4.6230259
