date, time, sync, seq, SWPMON, temp1, adc
24-05-31, T00:29:32.236Z, 0xAAAA, 13981, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.240Z, 0xAAAA, 13982, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.244Z, 0xAAAA, 13983, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.248Z, 0xAAAA, 13984, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.326Z, 0xAAAA, 13996, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.338Z, 0xAAAA, 13997, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.353Z, 0xAAAA, 13998, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.361Z, 0xAAAA, 13999, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.365Z, 0xAAAA, 14000, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.373Z, 0xAAAA, 14001, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.381Z, 0xAAAA, 14002, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.381Z, 0xAAAA, 14003, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.385Z, 0xAAAA, 14004, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.389Z, 0xAAAA, 14005, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.400Z, 0xAAAA, 14006, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.404Z, 0xAAAA, 14007, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.432Z, 0xAAAA, 14012, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.436Z, 0xAAAA, 14013, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.451Z, 0xAAAA, 14014, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.455Z, 0xAAAA, 14015, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.459Z, 0xAAAA, 14016, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.522Z, 0xAAAA, 14017, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.530Z, 0xAAAA, 14027, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.561Z, 0xAAAA, 14030, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.577Z, 0xAAAA, 14031, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.593Z, 0xAAAA, 14032, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.593Z, 0xAAAA, 14035, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.597Z, 0xAAAA, 14036, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.600Z, 0xAAAA, 14037, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.600Z, 0xAAAA, 14038, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.604Z, 0xAAAA, 14039, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.608Z, 0xAAAA, 14040, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.675Z, 0xAAAA, 14041, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.679Z, 0xAAAA, 14045, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.746Z, 0xAAAA, 14046, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.753Z, 0xAAAA, 14051, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.757Z, 0xAAAA, 14052, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.765Z, 0xAAAA, 14053, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.793Z, 0xAAAA, 14054, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.800Z, 0xAAAA, 14059, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.800Z, 0xAAAA, 14060, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.812Z, 0xAAAA, 14061, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.816Z, 0xAAAA, 14062, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.824Z, 0xAAAA, 14064, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.828Z, 0xAAAA, 14065, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.832Z, 0xAAAA, 14066, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.875Z, 0xAAAA, 14072, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.902Z, 0xAAAA, 14073, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.918Z, 0xAAAA, 14075, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:32.926Z, 0xAAAA, 14076, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.016Z, 0xAAAA, 14089, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.020Z, 0xAAAA, 14090, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.024Z, 0xAAAA, 14091, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.028Z, 0xAAAA, 14092, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.036Z, 0xAAAA, 14093, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.051Z, 0xAAAA, 14094, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.059Z, 0xAAAA, 14096, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.091Z, 0xAAAA, 14097, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.095Z, 0xAAAA, 14098, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.099Z, 0xAAAA, 14099, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.110Z, 0xAAAA, 14100, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.110Z, 0xAAAA, 14101, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.130Z, 0xAAAA, 14102, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.134Z, 0xAAAA, 14105, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.138Z, 0xAAAA, 14106, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.142Z, 0xAAAA, 14107, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.161Z, 0xAAAA, 14108, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.181Z, 0xAAAA, 14109, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.193Z, 0xAAAA, 14111, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.208Z, 0xAAAA, 14112, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.216Z, 0xAAAA, 14113, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.216Z, 0xAAAA, 14114, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.224Z, 0xAAAA, 14115, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.224Z, 0xAAAA, 14116, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.232Z, 0xAAAA, 14117, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.236Z, 0xAAAA, 14118, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.236Z, 0xAAAA, 14119, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.240Z, 0xAAAA, 14120, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.248Z, 0xAAAA, 14121, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.263Z, 0xAAAA, 14122, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.287Z, 0xAAAA, 14123, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.291Z, 0xAAAA, 14124, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.299Z, 0xAAAA, 14125, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.306Z, 0xAAAA, 14126, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.310Z, 0xAAAA, 14127, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.310Z, 0xAAAA, 14128, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.314Z, 0xAAAA, 14129, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.330Z, 0xAAAA, 14130, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.334Z, 0xAAAA, 14131, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.338Z, 0xAAAA, 14132, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.365Z, 0xAAAA, 14137, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.381Z, 0xAAAA, 14138, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.385Z, 0xAAAA, 14139, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.385Z, 0xAAAA, 14140, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.389Z, 0xAAAA, 14141, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.393Z, 0xAAAA, 14142, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.397Z, 0xAAAA, 14143, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.404Z, 0xAAAA, 14144, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.408Z, 0xAAAA, 14145, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.412Z, 0xAAAA, 14146, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.420Z, 0xAAAA, 14147, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.428Z, 0xAAAA, 14148, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.448Z, 0xAAAA, 14149, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.455Z, 0xAAAA, 14151, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.487Z, 0xAAAA, 14152, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.495Z, 0xAAAA, 14153, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.502Z, 0xAAAA, 14154, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.510Z, 0xAAAA, 14155, 0.2744335, 0.17436, 0.16190
24-05-31, T00:29:33.534Z, 0xAAAA, 14156, 0.2744335, 0.17436, 0.16190
