date, time, sync, seq, endMon, SWPMON, temp1, temp2, adc
02-05-2024, 15:10:34:360, 0xAAAA, 16711, 00.022, 0.1, 00.007, 03.000, 0.000
02-05-2024, 15:10:34:438, 0xAAAA, 16712, 00.023, 0.1, 00.008, 02.985, 0.000
02-05-2024, 15:10:34:516, 0xAAAA, 16713, 00.030, 0.1, 00.007, 03.000, 0.000
02-05-2024, 15:10:34:592, 0xAAAA, 16714, 00.013, 0.0, 00.010, 03.000, 0.000
02-05-2024, 15:10:34:742, 0xAAAA, 16715, 00.013, 0.0, 00.008, 02.992, 0.000
02-05-2024, 15:10:34:832, 0xAAAA, 16716, 00.025, 0.1, 00.007, 02.986, 0.000
02-05-2024, 15:10:34:911, 0xAAAA, 16717, 00.017, 0.1, 00.007, 02.995, 0.000
02-05-2024, 15:10:35:65, 0xAAAA, 16718, 00.027, 0.1, 00.011, 02.990, 0.000
02-05-2024, 15:10:35:221, 0xAAAA, 16719, 00.016, 0.1, 00.008, 02.989, 0.000
02-05-2024, 15:10:35:299, 0xAAAA, 16721, 00.016, 0.1, 00.008, 02.997, 0.000
02-05-2024, 15:10:35:453, 0xAAAA, 16722, 00.022, 0.1, 00.009, 02.994, 0.000
02-05-2024, 15:10:35:529, 0xAAAA, 16723, 00.032, 0.1, 00.009, 02.988, 0.000
02-05-2024, 15:10:35:606, 0xAAAA, 16724, 00.012, 0.0, 00.011, 03.000, 0.000
02-05-2024, 15:10:35:684, 0xAAAA, 16725, 00.012, 0.0, 00.008, 03.000, 0.000
02-05-2024, 15:10:35:851, 0xAAAA, 16726, 00.010, 0.0, 00.011, 03.000, 0.000
