uptime, sync, seq, step, SWPMON, adc
10305199, 0xAAAA, 0000, 0000, 0.01209, 4.9805447
10308715, 0xAAAA, 0001, 0000, 0.01209, 3.9649042
10311835, 0xAAAA, 0002, 0000, 0.01128, 4.3750668
10314943, 0xAAAA, 0003, 0001, 0.01128, 2.0508125
10318163, 0xAAAA, 0004, 0001, 0.38520, 1.4453346
10321214, 0xAAAA, 0005, 0002, 0.38520, 4.0039673
10324320, 0xAAAA, 0006, 0002, 0.78894, 3.7500572
10327455, 0xAAAA, 0007, 0003, 0.78894, 4.4141299
10330569, 0xAAAA, 0008, 0003, 0.78088, 3.4961471
10333696, 0xAAAA, 0009, 0004, 1.19348, 3.6523995
10336819, 0xAAAA, 0010, 0004, 1.56498, 1.7383078
10339976, 0xAAAA, 0011, 0005, 1.57626, 4.0820935
10343173, 0xAAAA, 0012, 0005, 1.57949, 3.8281834
10346273, 0xAAAA, 0013, 0006, 1.97194, 3.4766155
10349323, 0xAAAA, 0014, 0006, 1.96952, 3.5156786
10352462, 0xAAAA, 0015, 0007, 2.35956, 2.1875334
10355571, 0xAAAA, 0016, 0007, 2.38857, 3.9649042
10358700, 0xAAAA, 0017, 0007, 2.39744, 3.6133364
10361824, 0xAAAA, 0018, 0007, 2.41194, 4.3360037
10364948, 0xAAAA, 0019, 0006, 2.49897, 4.8242924
10368107, 0xAAAA, 0020, 0006, 2.54088, 3.5352102
10371245, 0xAAAA, 0021, 0005, 2.35795, 4.3360037
10374325, 0xAAAA, 0022, 0005, 1.97516, 3.7891203
10377461, 0xAAAA, 0023, 0004, 1.96711, 3.4570840
10380595, 0xAAAA, 0024, 0004, 1.97033, 4.4727245
10383695, 0xAAAA, 0025, 0003, 1.58593, 3.7109941
10386818, 0xAAAA, 0026, 0003, 1.56337, 3.1641108
10390025, 0xAAAA, 0027, 0002, 1.19106, 4.1797513
10393164, 0xAAAA, 0028, 0002, 0.78410, 3.3789578
10396278, 0xAAAA, 0029, 0001, 0.78652, 3.8477150
10399332, 0xAAAA, 0030, 0001, 0.78410, 1.4648661
10402444, 0xAAAA, 0031, 0000, 0.38198, 0.0000000
10405567, 0xAAAA, 0032, 0000, 0.40454, 3.4766155
10408704, 0xAAAA, 0033, 0000, 0.01209, 4.2578775
10411836, 0xAAAA, 0034, 0000, 0.01209, 4.4531930
10414946, 0xAAAA, 0035, 0001, 0.01209, 4.8047608
10418164, 0xAAAA, 0036, 0001, 0.01128, 0.9375143
10421217, 0xAAAA, 0037, 0002, 0.38601, 3.2227054
10424338, 0xAAAA, 0038, 0002, 0.39487, 3.5938048
10427449, 0xAAAA, 0039, 0003, 0.76718, 3.7109941
10430571, 0xAAAA, 0040, 0003, 1.17495, 2.2265965
10433698, 0xAAAA, 0041, 0004, 1.18462, 0.0000000
10436823, 0xAAAA, 0042, 0004, 1.18542, 0.0000000
10439980, 0xAAAA, 0043, 0005, 1.57546, 0.0000000
10443177, 0xAAAA, 0044, 0005, 1.96872, 0.0000000
10446259, 0xAAAA, 0045, 0006, 1.97033, 0.0000000
