sync, uptime, seq, step, SWPMON, adc
0xEEEE, 17589061, 5628, 0001, 0.78330, 4.8590066
0xEEEE, 17592165, 5629, 0001, 0.81634, 4.8557259
0xEEEE, 17595287, 5630, 0000, 0.39165, 4.8496986
0xEEEE, 17598411, 5631, 0000, 0.39245, 4.8535134
0xEEEE, 17601535, 5632, 0000, 0.01209, 4.8557259
0xEEEE, 17604660, 5633, 0000, 0.01209, 4.8588540
0xEEEE, 17607776, 5634, 0001, 0.01128, 4.8515297
0xEEEE, 17610901, 5635, 0001, 0.42952, 4.8516060
0xEEEE, 17614054, 5636, 0002, 0.39326, 4.8580148
0xEEEE, 17617152, 5637, 0002, 0.39487, 4.8554971
0xEEEE, 17620276, 5638, 0003, 0.83568, 4.8496986
0xEEEE, 17623402, 5639, 0003, 0.78974, 4.8556497
0xEEEE, 17626528, 5640, 0004, 1.18381, 4.8639658
0xEEEE, 17629659, 5641, 0004, 1.17656, 4.8580148
0xEEEE, 17632788, 5642, 0005, 1.57788, 4.8558785
0xEEEE, 17635912, 5643, 0005, 1.57949, 4.8572519
0xEEEE, 17639060, 5644, 0006, 1.97194, 4.8595407
0xEEEE, 17642164, 5645, 0006, 1.96952, 4.8549630
0xEEEE, 17645289, 5646, 0007, 2.36762, 4.8488594
0xEEEE, 17648413, 5647, 0007, 2.35392, 4.8537423
0xEEEE, 17651551, 5648, 0007, 2.53604, 4.8590066
0xEEEE, 17654661, 5649, 0007, 2.55216, 4.8542000
0xEEEE, 17657786, 5650, 0006, 2.55055, 4.8485542
0xEEEE, 17660912, 5651, 0006, 2.55136, 4.8570993
0xEEEE, 17664072, 5652, 0005, 2.36601, 4.8612192
0xEEEE, 17667163, 5653, 0005, 2.36601, 4.8472572
0xEEEE, 17670286, 5654, 0004, 2.02352, 4.8483253
0xEEEE, 17673401, 5655, 0004, 1.97275, 4.8628977
0xEEEE, 17676526, 5656, 0003, 1.59319, 4.8624399
0xEEEE, 17679651, 5657, 0003, 1.18220, 4.8497749
0xEEEE, 17682777, 5658, 0002, 1.18381, 4.8456550
0xEEEE, 17685902, 5659, 0002, 1.18381, 4.8593881
0xEEEE, 17689035, 5660, 0001, 0.78813, 4.8611429
0xEEEE, 17692152, 5661, 0001, 0.78813, 4.8565652
0xEEEE, 17695282, 5662, 0000, 0.38923, 4.8509957
0xEEEE, 17698424, 5663, 0000, 0.38923, 4.8579385
0xEEEE, 17701538, 5664, 0000, 0.01128, 4.8482490
0xEEEE, 17704663, 5665, 0000, 0.01209, 4.8525978
0xEEEE, 17707789, 5666, 0001, 0.01209, 4.8490120
0xEEEE, 17710914, 5667, 0001, 0.01128, 4.8618296
0xEEEE, 17714054, 5668, 0002, 0.39165, 4.8558022
0xEEEE, 17717154, 5669, 0002, 0.39165, 4.8490120
0xEEEE, 17720286, 5670, 0003, 0.78894, 4.8469520
0xEEEE, 17723411, 5671, 0003, 0.78974, 4.8615244
0xEEEE, 17726536, 5672, 0004, 1.18945, 4.8600748
0xEEEE, 17729662, 5673, 0004, 1.57788, 4.8522164
0xEEEE, 17732786, 5674, 0005, 1.57385, 4.8542000
0xEEEE, 17735919, 5675, 0005, 1.57788, 4.8598459
0xEEEE, 17739053, 5676, 0006, 1.95582, 4.8597696
0xEEEE, 17742152, 5677, 0006, 1.97275, 4.8498512
0xEEEE, 17745277, 5678, 0007, 2.38132, 4.8567178
0xEEEE, 17748402, 5679, 0007, 2.36681, 4.8580148
0xEEEE, 17751528, 5680, 0007, 2.55055, 4.8469520
0xEEEE, 17754651, 5681, 0007, 2.55055, 4.8433661
0xEEEE, 17757776, 5682, 0006, 2.54813, 4.8583200
0xEEEE, 17760902, 5683, 0006, 2.55297, 4.8578622
0xEEEE, 17764073, 5684, 0005, 2.36681, 4.8535897
0xEEEE, 17767164, 5685, 0005, 2.36117, 4.8545052
0xEEEE, 17770288, 5686, 0004, 1.97194, 4.8574807
0xEEEE, 17773414, 5687, 0004, 1.96227, 4.8659495
0xEEEE, 17776539, 5688, 0003, 1.57868, 4.8525978
0xEEEE, 17779662, 5689, 0003, 1.57465, 4.8441291
0xEEEE, 17782799, 5690, 0002, 1.18220, 4.8551919
0xEEEE, 17785911, 5691, 0002, 1.18542, 4.8588540
0xEEEE, 17789050, 5692, 0001, 0.79700, 4.8555734
0xEEEE, 17792161, 5693, 0001, 0.83810, 4.8511482
0xEEEE, 17795287, 5694, 0000, 0.39165, 4.8596170
0xEEEE, 17798411, 5695, 0000, 0.01209, 4.8559548
0xEEEE, 17801535, 5696, 0000, 0.01209, 4.8581674
0xEEEE, 17804661, 5697, 0000, 0.01128, 4.8533608
0xEEEE, 17807777, 5698, 0001, 0.01209, 4.8600748
0xEEEE, 17810901, 5699, 0001, 0.01128, 4.8638895
0xEEEE, 17814035, 5700, 0002, 0.39568, 4.8551919
0xEEEE, 17817152, 5701, 0002, 0.39810, 4.8504616
0xEEEE, 17820285, 5702, 0003, 0.77121, 4.8577859
0xEEEE, 17823402, 5703, 0003, 1.18139, 4.8563363
0xEEEE, 17826527, 5704, 0004, 1.18220, 4.8491646
0xEEEE, 17829661, 5705, 0004, 1.18139, 4.8501564
0xEEEE, 17832788, 5706, 0005, 1.57707, 4.8570230
0xEEEE, 17835913, 5707, 0005, 1.57223, 4.8597696
0xEEEE, 17839053, 5708, 0006, 1.97275, 4.8606088
0xEEEE, 17842164, 5709, 0006, 1.97275, 4.8547341
0xEEEE, 17845289, 5710, 0007, 2.36601, 4.8608377
0xEEEE, 17848413, 5711, 0007, 2.54894, 4.8493935
0xEEEE, 17851533, 5712, 0007, 2.55377, 4.8464179
0xEEEE, 17854661, 5713, 0007, 2.55216, 4.8493172
0xEEEE, 17857786, 5714, 0006, 2.56425, 4.8659495
0xEEEE, 17860911, 5715, 0006, 2.53040, 4.8623636
